"Id","OwnerId","IsDeleted","Name","RecordTypeId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ChargentBase__AC_Process_Amount_Total__c","ChargentBase__AC_Process_Amount__c","ChargentBase__AC_Process_Enabled__c","ChargentBase__AC_Process_Finished_Successful__c","ChargentBase__AC_Process_Finished_Unsuccessful__c","ChargentBase__AC_Process_Months_Enabled__c","ChargentBase__AC_Process_Name__c","ChargentBase__AC_Process_Times_Triggered__c","ChargentBase__AC_Process_Total_Stages_Executed__c","ChargentBase__AC_Stage_Actions__c","ChargentBase__AC_Stage_Collected_Amount__c","ChargentBase__AC_Stage_Times_Collected__c","ChargentBase__AC_Stage_Times_Triggered__c","ChargentBase__AC_Stage__c","ChargentBase__Date__c","ChargentBase__Day_In_Week__c","ChargentBase__Event_Count__c","ChargentBase__GU_Transaction_Count__c","ChargentBase__Key__c","ChargentBase__Month__c","ChargentBase__Time_Aggregation_Type__c","ChargentBase__Week_In_year__c","ChargentBase__Year__c","ChargentOrders__AC_Configuration__c","ChargentBase__GU_CPT_Count__c","ChargentBase__AG_Active_Gateways_Bitmask1__c","ChargentBase__AG_Active_Gateways_Bitmask2__c","ChargentBase__BA_PMT_Count__c","ChargentBase__CC_PMT_Count__c","ChargentBase__DW_PMT_Count__c","ChargentBase__TV_Total_BA_USD__c","ChargentBase__TV_Total_CC_USD__c","ChargentBase__TV_Total_DW_USD__c","ChargentBase__TV_Total_USD__c"
"a3H8W0000026HXtUAM","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_10_31","0128W000000axHn","2023-10-31 22:18:04","0051U0000028jHJQAY","2023-10-31 22:45:50","0051U0000028jHJQAY","2023-10-31 22:45:50","","","0","","","","","","","","","","","","2023-10-31 00:00:00","Tuesday","8","8","Gateway_Usage-DAILY-2023_10_31","10","DAILY","43","2023","","","","","","","","","","",""
"a3H8W0000026HZLUA2","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_01","0128W000000axHn","2023-11-01 10:05:24","0051U0000028jHJQAY","2023-11-01 23:10:17","0051U0000028jHJQAY","2023-11-01 23:10:17","","","0","","","","","","","","","","","","2023-11-01 00:00:00","Wednesday","36","65","Gateway_Usage-DAILY-2023_11_01","11","DAILY","43","2023","","","","","","","","","","",""
"a3H8W0000026HkBUAU","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_02","0128W000000axHn","2023-11-02 10:05:42","0051U0000028jHJQAY","2023-11-02 22:59:24","0051U0000028jHJQAY","2023-11-02 22:59:24","","","0","","","","","","","","","","","","2023-11-02 00:00:00","Thursday","54","375","Gateway_Usage-DAILY-2023_11_02","11","DAILY","43","2023","","","","","","","","","","",""
"a3H8W0000026HwHUAU","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_03","0128W000000axHn","2023-11-03 10:05:37","0051U0000028jHJQAY","2023-11-03 23:01:45","0051U0000028jHJQAY","2023-11-03 23:01:45","","","0","","","","","","","","","","","","2023-11-03 00:00:00","Friday","77","470","Gateway_Usage-DAILY-2023_11_03","11","DAILY","43","2023","","","","","","","","","","",""
"a3HUU00000000BJ2AY","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_04","0128W000000axHn","2023-11-06 10:05:40","0051U0000028jHJQAY","2023-11-06 10:05:40","0051U0000028jHJQAY","2023-11-06 10:05:40","","","0","","","","","","","","","","","","2023-11-04 00:00:00","Saturday","0","0","Gateway_Usage-DAILY-2023_11_04","11","DAILY","43","2023","","","","","","","","","","",""
"a3HUU00000000BK2AY","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_05","0128W000000axHn","2023-11-06 10:05:40","0051U0000028jHJQAY","2023-11-06 10:05:40","0051U0000028jHJQAY","2023-11-06 10:05:40","","","0","","","","","","","","","","","","2023-11-05 00:00:00","Sunday","0","0","Gateway_Usage-DAILY-2023_11_05","11","DAILY","44","2023","","","","","","","","","","",""
"a3HUU00000000BL2AY","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_06","0128W000000axHn","2023-11-06 10:05:40","0051U0000028jHJQAY","2023-11-06 22:40:16","0051U0000028jHJQAY","2023-11-06 22:40:16","","","0","","","","","","","","","","","","2023-11-06 00:00:00","Monday","80","436","Gateway_Usage-DAILY-2023_11_06","11","DAILY","44","2023","","","","","","","","","","",""
"a3HUU00000000Xt2AI","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_07","0128W000000axHn","2023-11-07 10:05:28","0051U0000028jHJQAY","2023-11-07 23:01:41","0051U0000028jHJQAY","2023-11-07 23:01:41","","","0","","","","","","","","","","","","2023-11-07 00:00:00","Tuesday","35","45","Gateway_Usage-DAILY-2023_11_07","11","DAILY","44","2023","","","","","","","","","","",""
"a3HUU00000000pd2AA","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_08","0128W000000axHn","2023-11-08 10:05:11","0051U0000028jHJQAY","2023-11-08 23:04:00","0051U0000028jHJQAY","2023-11-08 23:04:00","","","0","","","","","","","","","","","","2023-11-08 00:00:00","Wednesday","35","38","Gateway_Usage-DAILY-2023_11_08","11","DAILY","44","2023","","","","","","","","","","",""
"a3HUU00000001KH2AY","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_09","0128W000000axHn","2023-11-09 10:05:34","0051U0000028jHJQAY","2023-11-09 22:46:20","0051U0000028jHJQAY","2023-11-09 22:46:20","","","0","","","","","","","","","","","","2023-11-09 00:00:00","Thursday","55","279","Gateway_Usage-DAILY-2023_11_09","11","DAILY","44","2023","","","","","","","","","","",""
"a3HUU00000001Yn2AI","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_10","0128W000000axHn","2023-11-10 10:05:27","0051U0000028jHJQAY","2023-11-10 23:00:19","0051U0000028jHJQAY","2023-11-10 23:00:19","","","0","","","","","","","","","","","","2023-11-10 00:00:00","Friday","78","321","Gateway_Usage-DAILY-2023_11_10","11","DAILY","44","2023","","","","","","","","","","",""
"a3HUU000000023R2AQ","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_11","0128W000000axHn","2023-11-13 10:05:19","0051U0000028jHJQAY","2023-11-13 10:05:19","0051U0000028jHJQAY","2023-11-13 10:05:19","","","0","","","","","","","","","","","","2023-11-11 00:00:00","Saturday","0","0","Gateway_Usage-DAILY-2023_11_11","11","DAILY","44","2023","","","","","","","","","","",""
"a3HUU000000023S2AQ","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_12","0128W000000axHn","2023-11-13 10:05:19","0051U0000028jHJQAY","2023-11-13 10:05:19","0051U0000028jHJQAY","2023-11-13 10:05:19","","","0","","","","","","","","","","","","2023-11-12 00:00:00","Sunday","0","0","Gateway_Usage-DAILY-2023_11_12","11","DAILY","45","2023","","","","","","","","","","",""
"a3HUU000000023T2AQ","0051U0000028jHJQAY","0","Gateway_Usage-DAILY-2023_11_13","0128W000000axHn","2023-11-13 10:05:19","0051U0000028jHJQAY","2023-11-13 22:59:00","0051U0000028jHJQAY","2023-11-13 22:59:00","","","0","","","","","","","","","","","","2023-11-13 00:00:00","Monday","55","282","Gateway_Usage-DAILY-2023_11_13","11","DAILY","45","2023","","","","","","","","","","",""
