"Id","Name","SM_Contract__c","SM_Contract__r.ContractNumber","SM_Contract__r.Status","Payment_Status__c","SM_Type__c","SM_Original_Type__c","SM_Amount__c","SM_Net_Amount__c","SM_Fee_value__c","SM_Penalty_value__c","SM_Payment_Date__c","SM_Payment_execution_date__c","SM_Payments_refunded__c","SM_Failed_payment__c","CreatedDate"
"a241U000002q7GeQAI","PY-01177828","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Late payment fee","","25.0","27.88","0.0","25.0","2021-05-30","2021-05-28T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qGlcQAE","PY-01214200","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","AC","","169.0","188.44","169.0","0.0","2021-04-07","2021-04-07T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qS3NQAU","PY-01257583","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-06-30","2021-06-30T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qjNrQAI","PY-01324195","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-05-30","2021-06-03T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qkBuQAI","PY-01327298","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-07-30","2021-07-30T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qv6fQAA","PY-01364210","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-08-30","2021-08-30T10:05:12.000Z","","","2021-08-30T10:05:12.000Z"
"a241U000002r19lQAA","PY-01372681","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-10-04","2021-10-04T10:09:22.000Z","","","2021-10-04T10:09:22.000Z"
"a241U0000031hwQQAQ","PY-01382287","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-11-30","2021-11-11T19:10:48.000Z","","","2021-11-11T19:10:48.000Z"
"a241U0000031lXTQAY","PY-01387541","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Late payment fee","Fee","94.0","104.81","94.0","0.0","2021-12-06","2021-12-06T10:06:42.000Z","","a241U000002r10GQAQ","2021-12-06T10:06:42.000Z"
"a241U0000031ngIQAQ","PY-01393401","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Late payment fee","Fee","94.0","104.81","69.0","25.0","2021-12-31","2021-12-31T10:05:56.000Z","","a241U0000031nVhQAI","2021-12-31T10:05:56.000Z"
"a241U000002pz3qQAA","PY-01146283","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-07-30","2021-07-30T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qJCHQA2","PY-01223541","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-04-30","2021-04-30T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qK8mQAE","PY-01227168","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-05-30","2021-05-28T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qRPrQAM","PY-01255133","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-01-30","2021-01-29T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qU2YQAU","PY-01265220","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-06-30","2021-06-30T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qUFeQAM","PY-01266032","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-03-30","2021-03-30T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qWmXQAU","PY-01275759","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-02-28","2021-02-26T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qbQQQAY","PY-01293608","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-12-31","2020-12-31T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qea8QAA","PY-01305736","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","AC","","149.0","166.14","149.0","0.0","2020-11-30","2020-11-30T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qvBNQAY","PY-01364495","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-08-30","2021-08-30T10:11:42.000Z","","","2021-08-30T10:11:42.000Z"
"a241U000002qzfAQAQ","PY-01371465","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-09-30","2021-09-30T10:13:31.000Z","","","2021-09-30T10:13:31.000Z"
"a241U0000031fP7QAI","PY-01379222","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-10-29","2021-10-29T10:11:23.000Z","","","2021-10-29T10:11:23.000Z"
"a241U0000031k6ZQAQ","PY-01386718","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","Subscription","49.0","54.64","49.0","0.0","2021-11-30","2021-11-30T10:23:41.000Z","","","2021-11-30T10:23:41.000Z"
"a241U0000031ndYQAQ","PY-01393258","8001U000000WqRvQAK","00256614","Activated","ACCEPTED","Fee","Subscription","49.0","54.64","49.0","0.0","2021-12-30","2021-12-30T10:16:50.000Z","","","2021-12-30T10:16:50.000Z"
"a241U000002q22SQAQ","PY-01157728","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-05-15","2020-05-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002q2J6QAI","PY-01158760","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-12-15","2020-12-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002q2NKQAY","PY-01159022","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-04-15","2021-04-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qBd0QAE","PY-01194587","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-03-15","2021-03-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qCiWQAU","PY-01198773","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-08-15","2021-08-13T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qCxQQAU","PY-01199694","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2019-11-15","2019-11-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qD1qQAE","PY-01199968","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-08-15","2020-08-14T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
