ContractNumber,MonthlyOffer,MontoErroneoAC,CuotasPagasCorrectas,CuotasCobradasIncorrectoAC,OtrosMontos
00241219,69.00,169.00,60,1,1
00241461,69.00,188.44,64,1,0
00242904,49.00,166.14,69,1,0
00243412,69.00,132.69,63,1,0
00243955,75.00,110.39,56,1,15
00245228,69.00,166.14,66,1,0
00245793,79.00,121.54,72,1,0
00246052,79.00,121.54,72,1,0
00246159,79.00,121.54,73,1,0
00248001,49.00,166.14,68,1,0
00249049,79.00,121.54,71,1,1
00249998,69.00,188.44,63,1,0
00250539,79.00,121.54,73,1,0
00253616,69.00,188.44,65,1,0
00254714,79.00,121.54,72,1,0
00255430,69.00,166.14,67,1,0
00257825,69.00,166.14,64,1,3
00258583,75.00,110.39,57,1,6
00259519,79.00,121.54,72,1,2
00259641,75.00,110.39,56,1,15
00260543,79.00,121.54,72,1,1
00260729,69.00,188.44,74,1,0
00261332,69.00,188.44,63,1,0
00263219,69.00,166.14,65,1,1
00263246,49.00,166.14,63,1,4
00264833,69.00,132.69,62,1,0
00267532,79.00,177.29,59,1,5
00269600,79.00,121.54,72,1,0
00269841,69.00,166.14,66,1,2
00270305,69.00,188.44,63,1,0
00270776,79.00,121.54,69,1,3
00272425,89.00,110.39,83,1,0
00279193,75.00,110.39,57,1,24
00280908,79.00,121.54,71,1,0
00281180,69.00,188.44,71,1,0
00282523,79.00,143.84,80,1,0
00288497,79.00,121.54,69,1,0
00290150,69.00,188.44,63,1,1
00290239,79.00,121.54,70,1,3
00291850,79.00,121.54,71,1,0
00291886,69.00,132.69,52,1,21
00292059,79.00,121.54,71,1,2
00298770,79.00,143.84,70,1,0
00299485,69.00,188.44,60,1,0
00301055,79.00,143.84,83,1,3
00301583,75.00,110.39,55,1,9
00302784,69.00,188.44,88,1,2
00303807,75.00,110.39,55,1,21
00304492,79.00,177.29,63,1,1
00306955,69.00,188.44,76,1,0
00308931,49.00,167.24,54,1,1
00311941,79.00,121.54,35,1,3
00311548,69.00,132.69,40,1,1
00312034,75.00,110.39,35,1,1
00313422,99.00,110.39,22,1,4
00314459,79.00,177.29,15,1,1
00314541,79.00,177.29,17,1,0
00314725,79.00,177.29,17,1,1
00314767,79.00,110.39,16,1,0
00315478,69.00,149.00,9,1,0
00316168,99.00,25.00,4,1,4
