"Contract","ContractNumber","TotalTransmitted","LastDate","LastType","LastStatus","LastAmount","PrevDate","PrevType","PrevStatus","PrevAmount","SameMonth","SameMonthSameType"
"8001U000000WmqQQAS","00242758","93","2026-08-12","Late payment fee","REJECTED","143,84","2026-07-30","Fee","REJECTED","79","False","False"
"8001U000000WmRbQAK","00241219","63","2026-08-12","Late payment fee","ACH TRANSMITTED","169","2026-08-11","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000WmsmQAC","00242904","71","2026-08-13","Fee","ACH TRANSMITTED","49","2026-08-12","Late payment fee","ACH TRANSMITTED","166,14","True","False"
"8001U000000WmVVQA0","00241461","66","2026-08-13","Fee","ACH TRANSMITTED","69","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","True","False"
"8001U000000WmXkQAK","00241600","77","2026-08-12","Late payment fee","REJECTED","121,54","2026-07-30","Fee","REJECTED","79","False","False"
"8001U000000Wn0yQAC","00243412","65","2026-08-12","Late payment fee","ACH TRANSMITTED","132,69","2026-08-06","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000Wn9mQAC","00243955","73","2026-08-12","Late payment fee","ACH TRANSMITTED","110,39","2026-07-21","Fee","ACCEPTED","75","False","False"
"8001U000000WndQQAS","00245793","75","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-08-11","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000WnhbQAC","00246052","74","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-07-17","Fee","ACCEPTED","79","False","False"
"8001U000000WnjKQAS","00246159","75","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-08-11","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000WnNgQAK","00244817","80","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-06-30","Fee","ACCEPTED","79","False","False"
"8001U000000WnUJQA0","00245228","68","2026-08-12","Late payment fee","ACH TRANSMITTED","166,14","2026-07-18","Fee","ACCEPTED","69","False","False"
"8001U000000WoD3QAK","00248001","70","2026-08-12","Late payment fee","ACH TRANSMITTED","166,14","2026-07-18","Fee","ACCEPTED","49","False","False"
"8001U000000WojGQAS","00249998","65","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","2026-07-18","Fee","ACCEPTED","69","False","False"
"8001U000000WoR6QAK","00248872","75","2026-08-12","Late payment fee","ACH TRANSMITTED","143,84","2026-07-18","Fee","ACCEPTED","79","False","False"
"8001U000000WorzQAC","00250539","75","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-07-18","Fee","ACCEPTED","79","False","False"
"8001U000000WoSAQA0","00248938","81","2026-08-12","Late payment fee","REJECTED","121,54","2026-08-11","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000WoTxQAK","00249049","75","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-08-06","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000WpfcQAC","00253616","67","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","2026-08-06","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000WpxHQAS","00254714","74","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-07-21","Fee","ACCEPTED","79","False","False"
"8001U000000WpziQAC","00254865","64","2026-08-12","Late payment fee","REJECTED","188,44","2026-08-07","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000Wq8pQAC","00255430","67","2026-08-12","Late payment fee","ACH TRANSMITTED","166,14","2026-08-11","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000WqlSQAS","00257825","72","2026-08-12","Late payment fee","ACH TRANSMITTED","166,14","2026-08-11","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000WqxkQAC","00258583","65","2026-08-12","Late payment fee","ACH TRANSMITTED","110,39","2026-08-03","Fee","ACH TRANSMITTED","75","True","False"
"8001U000000Wr4XQAS","00259004","89","2026-08-13","Fee","ACH TRANSMITTED","79","2026-08-12","Late payment fee","ACH TRANSMITTED","133,25","True","False"
"8001U000000WrCqQAK","00259519","80","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-08-11","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000WrEoQAK","00259641","73","2026-08-12","Late payment fee","ACH TRANSMITTED","110,39","2026-08-11","Fee","ACH TRANSMITTED","75","True","False"
"8001U000000Wrg5QAC","00261332","65","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","2026-07-18","Fee","ACCEPTED","69","False","False"
"8001U000000WrjIQAS","00261527","76","2026-08-12","Late payment fee","REJECTED","121,54","2026-07-17","Fee","ACCEPTED","79","False","False"
"8001U000000WrTMQA0","00260543","76","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-07-21","Fee","ACCEPTED","79","False","False"
"8001U000000WrWMQA0","00260729","76","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","2026-08-07","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000WsAaQAK","00263219","70","2026-08-12","Late payment fee","ACH TRANSMITTED","166,14","2026-08-06","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000WsacQAC","00264833","64","2026-08-12","Late payment fee","ACH TRANSMITTED","132,69","2026-08-11","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000WsB1QAK","00263246","80","2026-08-12","Late payment fee","ACH TRANSMITTED","166,14","2026-08-11","Fee","ACH TRANSMITTED","49","True","False"
"8001U000000WsNrQAK","00264042","97","2026-08-12","Late payment fee","REJECTED","188,44","2026-08-07","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000WtIBQA0","00267532","72","2026-08-12","Late payment fee","ACH TRANSMITTED","177,29","2026-07-30","Fee","REJECTED","79","False","False"
"8001U000000WtpXQAS","00269600","74","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-08-11","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000WttQQAS","00269841","71","2026-08-12","Late payment fee","ACH TRANSMITTED","166,14","2026-08-07","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000Wu0uQAC","00270305","65","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","2026-08-11","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000Wu1VQAS","00270342","76","2026-08-13","Fee","ACH TRANSMITTED","79","2026-08-12","Late payment fee","REJECTED","143,84","True","False"
"8001U000000Wu2xQAC","00270432","79","2026-08-12","Late payment fee","ACH TRANSMITTED","166,14","2026-07-30","Fee","REJECTED","69","False","False"
"8001U000000Wu8VQAS","00270776","74","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-08-07","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000WuZ7QAK","00272425","85","2026-08-13","Fee","ACH TRANSMITTED","89","2026-08-12","Late payment fee","ACH TRANSMITTED","110,39","True","False"
"8001U000000Wv9bQAC","00274687","72","2026-08-13","Fee","ACH TRANSMITTED","49","2026-08-12","Late payment fee","ACH TRANSMITTED","166,14","True","False"
"8001U000000WvUeQAK","00275989","81","2026-08-12","Late payment fee","REJECTED","121,54","2026-08-07","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000WwKKQA0","00279193","83","2026-08-12","Late payment fee","ACH TRANSMITTED","110,39","2026-08-07","Fee","ACH TRANSMITTED","75","True","False"
"8001U000000WwlzQAC","00280908","73","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-08-07","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000WwqNQAS","00281180","73","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","2026-08-11","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000WwT4QAK","00279735","70","2026-08-12","Late payment fee","REJECTED","166,14","2026-08-07","Fee","ACH TRANSMITTED","49","True","False"
