ContractNumber,SM_Payment_methods__c,Grupo,Notas
00316562,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00318431,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00314155,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00318089,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317801,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317955,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317949,ACH,E,Primera Subscription de su vida en septiembre; RECHAZADA sin reintentar
00317951,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00318057,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318016,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318087,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317961,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318056,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318071,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317937,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00318075,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318014,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318086,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318192,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317859,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318027,ACH,E,Primera Subscription de su vida en septiembre; RECHAZADA sin reintentar
00318377,ACH,B,Nunca tuvo Subscription; AC RECHAZADO sin reintentar
00318013,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317809,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00311627,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00318183,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317958,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318011,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
