Payment_Name,SM_Transmission_Date_ACH_File__c,Amount
PY-01902571,2026-09-14,79.00
PY-01902572,2026-09-14,79.00
PY-01902573,2026-09-14,79.00
PY-01902574,2026-09-14,69.00
PY-01902575,2026-09-14,49.00
PY-01902576,2026-09-14,75.00
PY-01902577,2026-09-14,69.00
PY-01902578,2026-09-14,49.00
PY-01902579,2026-09-14,79.00
PY-01902580,2026-09-14,79.00
PY-01902581,2026-09-14,79.00
PY-01902582,2026-09-14,79.00
PY-01902583,2026-09-14,79.00
PY-01902584,2026-09-14,69.00
PY-01902585,2026-09-14,69.00
PY-01902586,2026-09-14,79.00
PY-01902587,2026-09-14,79.00
PY-01902588,2026-09-14,75.00
PY-01902589,2026-09-14,79.00
PY-01902590,2026-09-14,89.00
PY-01902591,2026-09-14,75.00
PY-01902592,2026-09-14,79.00
PY-01902593,2026-09-14,99.00
PY-01902594,2026-09-14,49.00
PY-01902595,2026-09-14,79.00
PY-01902596,2026-09-14,99.00
PY-01902597,2026-09-14,99.00
PY-01902598,2026-09-14,79.00
PY-01902599,2026-09-14,89.00
PY-01902600,2026-09-14,79.00
PY-01902601,2026-09-14,79.00
PY-01902602,2026-09-14,75.00
PY-01902603,2026-09-14,79.00
PY-01902604,2026-09-14,79.00
PY-01902605,2026-09-14,75.00
PY-01902606,2026-09-14,79.00
PY-01902607,2026-09-14,75.00
PY-01902608,2026-09-14,79.00
PY-01902609,2026-09-14,79.00
PY-01902610,2026-09-14,69.00
PY-01902611,2026-09-14,69.00
PY-01902612,2026-09-14,69.00
PY-01902613,2026-09-14,69.00
PY-01902614,2026-09-14,69.00
PY-01902615,2026-09-14,69.00
PY-01902616,2026-09-14,69.00
PY-01902617,2026-09-14,79.00
PY-01902618,2026-09-14,69.00
PY-01902619,2026-09-14,79.00
PY-01902620,2026-09-14,79.00
PY-01902621,2026-09-14,99.00
PY-01902622,2026-09-14,99.00
PY-01902623,2026-09-14,99.00
PY-01902624,2026-09-14,99.00
PY-01902625,2026-09-14,99.00
PY-01902626,2026-09-14,99.00
PY-01902627,2026-09-14,99.00
PY-01902628,2026-09-14,99.00
PY-01902629,2026-09-14,99.00
PY-01902630,2026-09-14,99.00
PY-01902631,2026-09-14,99.00
PY-01902632,2026-09-14,79.00
PY-01902633,2026-09-14,89.00
PY-01902634,2026-09-14,139.00
PY-01902635,2026-09-14,99.00
PY-01902636,2026-09-14,99.00
PY-01902637,2026-09-14,99.00
PY-01902638,2026-09-14,79.00
PY-01902639,2026-09-14,99.00
PY-01902640,2026-09-14,99.00
PY-01902641,2026-09-14,99.00
PY-01902642,2026-09-14,139.00
PY-01902643,2026-09-14,79.00
PY-01902644,2026-09-14,99.00
PY-01902645,2026-09-14,139.00
PY-01902646,2026-09-14,139.00
PY-01902647,2026-09-14,75.00
PY-01902648,2026-09-14,99.00
PY-01902650,2026-09-14,99.00
PY-01902651,2026-09-14,75.00
PY-01902652,2026-09-14,75.00
PY-01902653,2026-09-14,139.00
PY-01902654,2026-09-14,75.00
PY-01902655,2026-09-14,99.00
PY-01902656,2026-09-14,139.00
PY-01902657,2026-09-14,99.00
PY-01902658,2026-09-14,139.00
PY-01902659,2026-09-14,99.00
PY-01902660,2026-09-14,139.00
PY-01902661,2026-09-14,75.00
PY-01902662,2026-09-14,99.00
PY-01902663,2026-09-14,139.00
PY-01902664,2026-09-14,99.00
PY-01902665,2026-09-14,99.00
PY-01902666,2026-09-14,139.00
PY-01902667,2026-09-14,99.00
PY-01902668,2026-09-14,99.00
PY-01902669,2026-09-14,139.00
PY-01902670,2026-09-14,99.00
PY-01902671,2026-09-14,75.00
PY-01902672,2026-09-14,99.00
PY-01902673,2026-09-14,99.00
PY-01902674,2026-09-14,99.00
PY-01902675,2026-09-14,99.00
PY-01902676,2026-09-14,79.00
PY-01902677,2026-09-14,99.00
PY-01902678,2026-09-14,139.00
PY-01902679,2026-09-14,99.00
PY-01902680,2026-09-14,99.00
PY-01902681,2026-09-14,139.00
PY-01902682,2026-09-14,99.00
PY-01902683,2026-09-14,99.00
PY-01902684,2026-09-14,79.00
PY-01902685,2026-09-14,139.00
PY-01902686,2026-09-14,99.00
PY-01902687,2026-09-14,99.00
PY-01902688,2026-09-14,99.00
PY-01902689,2026-09-14,139.00
PY-01902690,2026-09-14,99.00
PY-01902692,2026-09-14,139.00
PY-01902693,2026-09-14,99.00
PY-01902694,2026-09-14,139.00
PY-01902695,2026-09-14,119.00
PY-01902696,2026-09-14,99.00
PY-01902697,2026-09-14,99.00
PY-01902698,2026-09-14,139.00
PY-01902699,2026-09-14,139.00
PY-01902700,2026-09-14,99.00
PY-01902701,2026-09-14,139.00
PY-01902702,2026-09-14,139.00
PY-01902703,2026-09-14,99.00
PY-01902704,2026-09-14,99.00
