Payment_Name,SM_Transmission_Date_ACH_File__c,Amount,Source_File
PY-01510525,2024-02-08,76.94,ACH_20240208.csv
PY-01510537,2024-02-08,54.64,ACH_20240208.csv
PY-01510581,2024-02-08,88.09,ACH_20240208.csv
PY-01510588,2024-02-08,83.63,ACH_20240208.csv
PY-01511835,2024-02-08,44.03,ACH_20240208.csv
PY-01511850,2024-02-08,54.64,ACH_20240208.csv
PY-01512607,2024-02-08,111.50,ACH_20240208.csv
PY-01512831,2024-02-08,76.94,ACH_20240208.csv
PY-01514643,2024-02-08,88.09,ACH_20240208.csv
PY-01514654,2024-02-08,83.63,ACH_20240208.csv
PY-01515803,2024-02-08,88.09,ACH_20240208.csv
PY-01516515,2024-02-08,88.09,ACH_20240208.csv
PY-01516556,2024-02-08,76.94,ACH_20240208.csv
PY-01517615,2024-02-08,44.03,ACH_20240208.csv
PY-01517990,2024-02-08,54.64,ACH_20240208.csv
PY-01518333,2024-02-08,76.94,ACH_20240208.csv
PY-01519278,2024-02-08,88.09,ACH_20240208.csv
PY-01519300,2024-02-08,76.94,ACH_20240208.csv
PY-01519317,2024-02-08,88.09,ACH_20240208.csv
PY-01520101,2024-02-08,76.94,ACH_20240208.csv
PY-01520643,2024-02-08,83.63,ACH_20240208.csv
PY-01520681,2024-02-08,83.63,ACH_20240208.csv
PY-01521127,2024-02-08,88.09,ACH_20240208.csv
PY-01521570,2024-02-08,76.94,ACH_20240208.csv
PY-01522448,2024-02-08,88.09,ACH_20240208.csv
PY-01522948,2024-02-08,76.94,ACH_20240208.csv
PY-01522960,2024-02-08,54.64,ACH_20240208.csv
PY-01522961,2024-02-08,54.64,ACH_20240208.csv
PY-01522997,2024-02-08,88.09,ACH_20240208.csv
PY-01523005,2024-02-08,76.94,ACH_20240208.csv
PY-01523007,2024-02-08,83.63,ACH_20240208.csv
PY-01523546,2024-02-08,88.09,ACH_20240208.csv
PY-01524150,2024-02-08,44.03,ACH_20240208.csv
PY-01524521,2024-02-08,54.64,ACH_20240208.csv
PY-01524981,2024-02-08,76.94,ACH_20240208.csv
PY-01525494,2024-02-08,83.63,ACH_20240208.csv
PY-01525925,2024-02-08,88.09,ACH_20240208.csv
PY-01525934,2024-02-08,88.09,ACH_20240208.csv
PY-01525979,2024-02-08,88.09,ACH_20240208.csv
PY-01525999,2024-02-08,76.94,ACH_20240208.csv
PY-01526015,2024-02-08,88.09,ACH_20240208.csv
PY-01527291,2024-01-29,76.94,ACH_20240129.csv
PY-01527361,2024-01-29,88.09,ACH_20240129.csv
PY-01527363,2024-01-29,83.63,ACH_20240129.csv
PY-01527366,2024-01-29,76.94,ACH_20240129.csv
PY-01527371,2024-01-24,88.09,ACH_20240124 - RETURNS.csv
PY-01527444,2024-01-29,76.94,ACH_20240129.csv
PY-01527726,2024-01-29,88.09,ACH_20240129.csv
PY-01528076,2024-01-29,76.94,ACH_20240129.csv
PY-01528533,2024-01-29,88.09,ACH_20240129.csv
PY-01528818,2024-01-29,88.09,ACH_20240129.csv
PY-01528843,2024-01-29,88.09,ACH_20240129.csv
PY-01528855,2024-01-29,54.64,ACH_20240129.csv
PY-01528861,2024-01-29,88.09,ACH_20240129.csv
PY-01528863,2024-01-29,76.94,ACH_20240129.csv
PY-01528864,2024-01-29,83.63,ACH_20240129.csv
PY-01528867,2024-01-29,99.99,ACH_20240129.csv
PY-01528888,2024-01-29,76.94,ACH_20240129.csv
PY-01528896,2024-02-08,54.64,ACH_20240208.csv
PY-01528897,2024-01-29,54.64,ACH_20240129.csv
PY-01528909,2024-01-29,76.94,ACH_20240129.csv
PY-01528923,2024-01-29,88.09,ACH_20240129.csv
PY-01528927,2024-01-29,76.94,ACH_20240129.csv
PY-01528930,2024-01-29,83.63,ACH_20240129.csv
PY-01528933,2024-01-29,76.94,ACH_20240129.csv
PY-01529821,2024-01-29,88.09,ACH_20240129.csv
PY-01530177,2024-01-29,76.94,ACH_20240129.csv
PY-01530638,2024-01-29,88.09,ACH_20240129.csv
PY-01530642,2024-01-29,54.64,ACH_20240129.csv
PY-01530970,2024-01-29,83.63,ACH_20240129.csv
PY-01531015,2024-01-29,76.94,ACH_20240129.csv
PY-01531016,2024-01-29,88.09,ACH_20240129.csv
PY-01531391,2024-01-29,83.63,ACH_20240129.csv
PY-01531401,2024-01-29,54.64,ACH_20240129.csv
PY-01531828,2024-01-29,88.09,ACH_20240129.csv
PY-01531918,2024-01-29,88.09,ACH_20240129.csv
PY-01531956,2024-02-08,76.94,ACH_20240208.csv
PY-01531961,2024-01-29,76.94,ACH_20240129.csv
PY-01531972,2024-01-29,88.09,ACH_20240129.csv
PY-01531983,2024-01-29,83.63,ACH_20240129.csv
PY-01532063,2024-01-29,76.94,ACH_20240129.csv
PY-01532091,2024-02-08,88.09,ACH_20240208.csv
PY-01532093,2024-01-29,88.09,ACH_20240129.csv
PY-01533211,2024-01-29,76.94,ACH_20240129.csv
PY-01533213,2024-01-29,88.09,ACH_20240129.csv
PY-01533217,2024-01-29,83.63,ACH_20240129.csv
PY-01533218,2024-01-29,76.94,ACH_20240129.csv
PY-01533221,2024-01-29,76.94,ACH_20240129.csv
PY-01533227,2024-01-24,88.09,ACH_20240124 - RETURNS.csv
PY-01533694,2024-01-29,88.09,ACH_20240129.csv
PY-01534155,2024-01-29,115.96,ACH_20240129.csv
PY-01534157,2024-01-29,127.87,ACH_20240129.csv
PY-01534158,2024-01-29,104.81,ACH_20240129.csv
PY-01534162,2024-01-29,88.09,ACH_20240129.csv
