ContractNumber,Estado,FechaUltimaRevision,Detalle
00289937,CANCELLED_OK,2026-09-22,ACH ya resuelto
00309564,CANCELLED_OK,2026-09-22,ACH ya resuelto
00311797,PENDING_ACH_PAYMENT,2026-09-22,PY-01740249 en PENDING; PY-01751750 en PENDING; PY-01756763 en PENDING; PY-01756770 en PENDING; PY-01756788 en PENDING; PY-01756803 en PENDING; PY-01756812 en PENDING; PY-01762889 en PENDING
00311887,CANCELLED_OK,2026-09-22,ACH ya resuelto
00312251,CANCELLED_OK,2026-09-22,ACH ya resuelto
00312270,CANCELLED_OK,2026-09-22,ACH ya resuelto
00312669,CANCELLED_OK,2026-09-22,ACH ya resuelto
00312713,PENDING_ACH_PAYMENT,2026-09-22,PY-01752505 en PENDING; PY-01763737 en PENDING
00312868,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313112,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313178,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313229,PENDING_ACH_PAYMENT,2026-09-22,PY-01746966 en PENDING; PY-01756777 en PENDING
00313496,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313513,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313658,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313857,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313892,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314055,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314074,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314241,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314281,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314289,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314302,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314324,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314329,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314333,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314343,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314346,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314356,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314378,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314405,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314409,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314421,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314423,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314477,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314488,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314515,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314517,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314540,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314544,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314602,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314609,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314637,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314657,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314685,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314708,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314709,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314710,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314716,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314721,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314728,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314731,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314777,PENDING_ACH_PAYMENT,2026-09-22,PY-01746962 en PENDING; PY-01756774 en PENDING; PY-01764684 en PENDING; PY-01764686 en PENDING; PY-01764690 en PENDING; PY-01764698 en PENDING
00314788,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314805,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314811,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314886,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314913,PENDING_ACH_PAYMENT,2026-09-22,PY-01746969 en PENDING; PY-01756781 en PENDING; PY-01764683 en PENDING; PY-01764685 en PENDING; PY-01764687 en PENDING; PY-01764699 en PENDING
00314914,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314924,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314939,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314987,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315020,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313053,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313565,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313876,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313948,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314178,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314179,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314206,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314265,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314485,CANCELLED_OK,2026-09-22,ACH ya resuelto
00307629,CANCELLED_OK,2026-09-22,ACH ya resuelto
00310961,CANCELLED_OK,2026-09-22,ACH ya resuelto
00311669,CANCELLED_OK,2026-09-22,ACH ya resuelto
00312542,CANCELLED_OK,2026-09-22,ACH ya resuelto
00312940,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313052,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313109,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313166,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313321,PENDING_ACH_PAYMENT,2026-09-22,PY-01746886 en PENDING; PY-01771652 en PENDING
00313400,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313521,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313654,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314193,CANCELLED_OK,2026-09-22,ACH ya resuelto
