Payment_Name,Contract,Fecha_Return_R10,Monto,Reason_Description,Estado_Salesforce_Actual,Clasificacion,Source_File_R10
PY-01756630,00300131,2025-11-26,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-01-09 -> REJECTED/PENDING),ACH Returns Jan 9-12 2026.pdf
PY-01771593,00300131,2025-12-30,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-01-09 -> REJECTED/PENDING),ACH Returns Jan 9-12 2026.pdf
PY-01771697,00314360,2025-12-30,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-01-15 -> REJECTED/PENDING),ACH Returns Jan 14-15 2026.pdf
PY-01771768,00314360,2025-12-30,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-01-15 -> REJECTED/PENDING),ACH Returns Jan 14-15 2026.pdf
PY-01771776,00314360,2025-12-30,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-01-15 -> REJECTED/PENDING),ACH Returns Jan 14-15 2026.pdf
PY-01771820,00314360,2025-12-30,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-01-15 -> REJECTED/PENDING),ACH Returns Jan 14-15 2026.pdf
PY-01780255,00312213,2026-01-21,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-02-09 -> REJECTED/PENDING),ACH Returns Feb 9 2026.pdf
PY-01787481,00312213,2026-02-02,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-02-09 -> REJECTED/PENDING),ACH Returns Feb 9 2026.pdf
PY-01788726,00312213,2026-02-03,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-02-09 -> REJECTED/PENDING),ACH Returns Feb 9 2026.pdf
PY-01795695,00315725,2026-02-20,0.00,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED/PENDING,SUPERADO_POR_REPORTE_MAS_RECIENTE (COLLECTION 2026-03-13 -> REJECTED/PENDING),ACH Returns March 13 2026.pdf
