Payment_Name,Resultado,Ultimo_Estado_Indice,Fecha,Archivo_Origen,Fuente
PY-01807439,DESINCRONIZADO,COLLECTED,2026-03-23,Check Collections April 6-7 2026.pdf,Collections
PY-01807451,DESINCRONIZADO,COLLECTED,2026-03-23,Check Collections April 1 2026.pdf,Collections
PY-01808332,DESINCRONIZADO,COLLECTED,2026-03-24,Check Collections April 2-3 2026.pdf,Collections
PY-01809138,DESINCRONIZADO,NOT_COLLECTED,2026-03-25,Check Collections April 2-3 2026.pdf,Collections
PY-01809202,DESINCRONIZADO,COLLECTED,2026-03-26,Check Collections April 2-3 2026.pdf,Collections
PY-01809301,DESINCRONIZADO,COLLECTED,2026-03-27,Check Collections April 10 2026.pdf,Collections
PY-01809307,DESINCRONIZADO,COLLECTED,2026-03-27,Check Collections April 6-7 2026.pdf,Collections
PY-01810005,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 1 2026.pdf,Collections
PY-01810045,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 1 2026.pdf,Collections
PY-01810090,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 6-7 2026.pdf,Collections
PY-01810102,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 2-3 2026.pdf,Collections
PY-01810112,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 1 2026.pdf,Collections
PY-01810141,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 2-3 2026.pdf,Collections
PY-01810156,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 2-3 2026.pdf,Collections
PY-01810164,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 1 2026.pdf,Collections
PY-01810167,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 2-3 2026.pdf,Collections
PY-01810172,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 1 2026.pdf,Collections
PY-01810173,DESINCRONIZADO,COLLECTED,2026-03-27,Check Collections April 9 2026.pdf,Collections
PY-01810185,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 2-3 2026.pdf,Collections
PY-01810187,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 2-3 2026.pdf,Collections
PY-01810198,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 2-3 2026.pdf,Collections
PY-01810204,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 2-3 2026.pdf,Collections
PY-01810205,DESINCRONIZADO,COLLECTED,2026-03-27,Check Collections April 9 2026.pdf,Collections
PY-01810231,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 2-3 2026.pdf,Collections
PY-01810251,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 2-3 2026.pdf,Collections
PY-01810255,DESINCRONIZADO,COLLECTED,2026-03-30,Check Collections April 8 2026.pdf,Collections
PY-01812395,DESINCRONIZADO,COLLECTED,2026-04-01,Check Collections April 2-3 2026.pdf,Collections
PY-01812404,DESINCRONIZADO,COLLECTED,2026-04-01,Check Collections April 10 2026.pdf,Collections
