Payment_Name,ContractNumber,ContractStatus,SM_ACH_Order__c,Amount,Days_Since_Transmission,Current_Payment_Status__c,Current_Check_Collection_Status__c,Current_Return_code__c,Current_Check_Collection_Date__c,Expected_Payment_Status__c,Expected_Check_Collection_Status__c,Expected_Return_code__c,Expected_Return_Change__c,Basis,Report_Txn_Date,Report_Source_File,Reason,Section,Mismatch_Type,Accepted_By_Timeout_Routine,Is_Test_or_VIP_Contract,LastModifiedDate,SM_Historical_Collection_Status__c,Tier,flag_same_file_ambiguous,flag_date_later_plus_retcode,Estado_Aplicado
PY-01773068,00315884,Cancelled,a04UU00000GG7UAYA1,74.5,260,REJECTED,PENDING,,2026-01-07,ACCEPTED,COLLECTED,,,collections,2026-01-07,Check Collections Jan 16 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-09T15:04:42.000+0000,PRC_AUT: PENDING //PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,APLICADO 2026-09-22 (solo Cancelled)
PY-01773072,00316173,Cancelled,a04UU00000GkkBVYAZ,119,260,REJECTED,PENDING,,2026-01-08,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 260 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:05:11.000+0000,PRC_AUT: PENDING //PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01773073,00316203,Cancelled,a04UU00000GnJ57YAF,119,260,REJECTED,PENDING,,2026-01-08,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 260 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:05:11.000+0000,PRC_AUT: PENDING //PRC_AUT: PENDING //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01773986,00316240,Activated,a04UU00000GqV1hYAF,139,260,REJECTED,PENDING,R04,2026-01-07,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 260 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:04:42.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,
PY-01773987,00316242,Activated,a04UU00000GqWXFYA3,139,260,REJECTED,PENDING,R04,2026-01-07,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 260 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:04:42.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,
PY-01773993,00315895,Cancelled,a04UU00000GGanuYAD,119,260,REJECTED,PENDING,,2026-01-07,REJECTED,NOT_COLLECTED,,,collections,2026-01-07,Check Collections Jan 16 2026.pdf,PASTDUE DATE,NOT COLLECTED,SUBESTADO_MENOR,False,False,2026-09-09T15:04:42.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T8_SUBESTADO_REVISAR,False,False,
PY-01775804,00315926,Cancelled,a04UU00000GKtjuYAD,74.5,257,REJECTED,PENDING,R04,2026-01-12,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 257 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:07:09.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01777916,00316035,Cancelled,a04UU00000Ga1yrYAB,149,251,REJECTED,PENDING,R04,2026-01-16,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 251 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:11:41.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01777920,00316237,Activated,a04UU00000GqDuPYAV,69.5,251,REJECTED,PENDING,R04,2026-01-16,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 251 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:11:41.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,
PY-01777932,00316352,Cancelled,a04UU00000H4HA9YAN,49.5,251,REJECTED,PENDING,R04,2026-01-16,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 251 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:11:41.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
