Payment_Name,Contrato,Monto,Reporte_Ganador,Fecha_Transaccion,Fecha_Reporte_Real,Motivo_Reporte,Esperado_Payment_Status,Esperado_Collection_Status,Esperado_Return_Code,Actual_Payment_Status,Actual_Collection_Status,Actual_Return_Code,Bloqueado_por_Guard_Regresion,Aceptado_por_Timeout_15D,Historico_SF,Detalle
PY-01868816,00316444,99,collections,2026-09-04,2026-09-08,R10 CUST ADV NOT,REJECTED,PENDING,,ACCEPTED,ACCEPTED,,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='ACCEPTED' vs esperado='PENDING'
PY-01885207,00316444,99,returns,2026-08-21,,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,ACCEPTED,COLLECTED,,False,True,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='COLLECTED' vs esperado='RETURN' | SM_Return_code__c: SF='' vs esperado='R10'
PY-01872955,00316490,99,returns,2026-07-31,2026-08-03,INSUFFICIENT FUNDS,REJECTED,RETURN,R01,REJECTED,NOT_COLLECTED,R01,False,False,"RETURN>RETURN>NOT COLLECTED X DIAS (26 CAL,)_1872955_u.250826 //",SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='RETURN'
PY-01870682,00316842,99,collections,2026-07-29,2026-07-30,R08 STOP PAYMENT,REJECTED,PENDING,,REJECTED,NOT_COLLECTED,R08,False,False,"PRC_AUT: PENDING //PRC_AUT: PENDING //PENDING>NOT COLLECTED X DIAS (27 CAL,)_1870682_u.240826 //",SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='PENDING'
PY-01857176,00316842,99,collections,2026-06-29,2026-06-30,R08 STOP PAYMENT,REJECTED,PENDING,,REJECTED,NOT_COLLECTED,R08,False,False,"PRC_AUT: PENDING //PENDING>NOT COLLECTED X DIAS (60 CAL,)_1857176_u.240826 //",SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='PENDING'
PY-01852549,00312608,79,collections,2026-06-16,2026-06-17,NSF,REJECTED,PENDING,,REJECTED,NOT_COLLECTED,R01,False,False,,SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='PENDING'
PY-01852572,00314923,79,collections,2026-06-16,2026-06-17,NSF,REJECTED,PENDING,,REJECTED,NOT_COLLECTED,R01,False,False,,SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='PENDING'
PY-01852615,00316597,99,collections,2026-06-16,2026-06-17,NSF,REJECTED,PENDING,,REJECTED,NOT_COLLECTED,R01,False,False,,SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='PENDING'
PY-01852569,00314834,75,collections,2026-06-16,2026-06-17,NSF,REJECTED,PENDING,,REJECTED,NOT_COLLECTED,R01,False,False,,SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='PENDING'
PY-01852566,00314784,79,returns,2026-06-16,2026-06-17,NO ACCOUNT/UNABLE TO LOCATE ACC,REJECTED,RETURN,R03,REJECTED,NOT_COLLECTED,R03,False,False,,SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='RETURN'
PY-01852638,00317674,99,returns,2026-06-16,2026-06-17,NO ACCOUNT/UNABLE TO LOCATE ACC,REJECTED,RETURN,R03,REJECTED,NOT_COLLECTED,R03,False,False,,SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='RETURN'
PY-01852577,00315218,79,returns,2026-06-16,2026-06-17,INSUFFICIENT FUNDS,REJECTED,RETURN,R01,REJECTED,NOT_COLLECTED,R01,False,False,,SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='RETURN'
PY-01852536,00311156,69,returns,2026-06-16,2026-06-17,ACCOUNT CLOSED,REJECTED,RETURN,R02,REJECTED,NOT_COLLECTED,R02,False,False,,SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='RETURN'
PY-01852634,00317570,129,returns,2026-06-16,2026-06-17,INVALID ACCOUNT NUMBER,REJECTED,RETURN,R04,REJECTED,NOT_COLLECTED,R04,False,False,,SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='RETURN'
PY-01850719,00317471,75,collections,2026-06-15,2026-06-16,NSF,REJECTED,PENDING,,REJECTED,NOT_COLLECTED,R01,False,False,,SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='PENDING'
PY-01850723,00317668,139,returns,2026-06-15,2026-06-17,CORPORATE CUSTOMER ADVISES NOT,REJECTED,RETURN,R29,REJECTED,NOT_COLLECTED,R29,False,False,,SM_Check_Collection_Status__c: SF='NOT_COLLECTED' vs esperado='RETURN'
PY-01849211,00308931,49,collections,2026-06-11,2026-06-15,NSF,REJECTED,PENDING,,ACCEPTED,Collected,R01,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='Collected' vs esperado='PENDING'
PY-01849224,00317044,99,collections,2026-06-11,2026-06-15,NSF,REJECTED,PENDING,,ACCEPTED,Collected,R01,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='Collected' vs esperado='PENDING'
