Payment_Name,Contrato,Monto,Reporte_Ganador,Fecha_Reporte,Motivo_Reporte,Esperado_Payment_Status,Esperado_Collection_Status,Esperado_Return_Code,Actual_Payment_Status,Actual_Collection_Status,Actual_Return_Code,Bloqueado_por_Guard_Regresion,Aceptado_por_Timeout_15D,Historico_SF,Detalle
PY-01868816,00316444,99,collections,2026-09-04,R10 CUST ADV NOT,REJECTED,PENDING,,ACCEPTED,ACCEPTED,,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='ACCEPTED' vs esperado='PENDING'
PY-01885207,00316444,99,returns,2026-08-21,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,ACCEPTED,COLLECTED,,False,True,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='COLLECTED' vs esperado='RETURN' | SM_Return_code__c: SF='' vs esperado='R10'
PY-01861580,00312122,79,collections,2026-07-06,NSF,REJECTED,PENDING,,ACCEPTED,Collected,R01,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='Collected' vs esperado='PENDING'
PY-01861631,00317592,99,collections,2026-07-06,NSF,REJECTED,PENDING,,ACCEPTED,Collected,R01,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='Collected' vs esperado='PENDING'
PY-01860336,00317012,99,collections,2026-07-03,NSF,REJECTED,PENDING,,ACCEPTED,Collected,R01,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='Collected' vs esperado='PENDING'
PY-01860349,00317564,139,collections,2026-07-02,NSF,REJECTED,PENDING,,ACCEPTED,Collected,R01,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='Collected' vs esperado='PENDING'
PY-01859667,00316604,99,collections,2026-07-01,NSF,REJECTED,PENDING,,ACCEPTED,Collected,R01,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='Collected' vs esperado='PENDING'
PY-01859576,00314341,89,collections,2026-07-01,NSF,REJECTED,PENDING,,ACCEPTED,Collected,R01,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='Collected' vs esperado='PENDING'
PY-01860329,00315964,79,collections,2026-07-01,NSF,REJECTED,PENDING,,ACCEPTED,Collected,R01,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='Collected' vs esperado='PENDING'
PY-01859618,00315550,69,collections,2026-07-01,NSF,REJECTED,PENDING,,ACCEPTED,Collected,R01,True,False,,Payment_Status__c: SF='ACCEPTED' vs esperado='REJECTED' | SM_Check_Collection_Status__c: SF='Collected' vs esperado='PENDING'
