Priority,Payment_Name,ContractNumber,SM_ACH_Order__c,Amount,Current_Payment_Status__c,Current_Check_Collection_Status__c,Current_Return_code__c,Current_Check_Collection_Date__c,Expected_Payment_Status__c,Expected_Check_Collection_Status__c,Expected_Return_code__c,Expected_Return_Change__c,Report_Txn_Date,Report_Source_File,Report_Type,Reason,Section,Mismatch_Type,Accepted_By_Timeout_Routine,Is_Test_or_VIP_Contract,LastModifiedDate,SM_Historical_Collection_Status__c
T4_SUBESTADO_MENOR,PY-01733304,00314896,a04UU00000CcwTvYAJ,79,REJECTED,Not_collected,R01,2025-11-05,REJECTED,PENDING,,,2025-09-22,ResumenOctNovDec2025.pdf,collections,NSF 2 09-22,PENDING,OTRO_DESAJUSTE,False,False,2026-08-04T12:14:34.000+0000,
T4_SUBESTADO_MENOR,PY-01735299,00314484,a04UU00000Avv8hYAB,75,REJECTED,Not_collected,R01,2025-11-14,REJECTED,PENDING,,,2025-09-29,ResumenOctNovDec2025.pdf,collections,NSF 7 09-29,PENDING,OTRO_DESAJUSTE,False,False,2026-08-04T12:14:34.000+0000,
T4_SUBESTADO_MENOR,PY-01735938,00312988,a04UU000002yIvOYAU,79,REJECTED,Not_collected,R01,2025-11-14,REJECTED,PENDING,,,2025-09-30,ResumenOctNovDec2025.pdf,collections,NSF 8 09-30,PENDING,OTRO_DESAJUSTE,False,False,2026-08-04T12:14:34.000+0000,
T4_SUBESTADO_MENOR,PY-01736550,00302396,a041U00000XuouhQAB,79,REJECTED,Not_collected,R01,2025-11-17,REJECTED,PENDING,,,2025-10-01,ResumenOctNovDec2025.pdf,collections,NSF 9 10-01,PENDING,OTRO_DESAJUSTE,False,False,2026-08-04T12:14:34.000+0000,
T4_SUBESTADO_MENOR,PY-01736553,00259558,a041U00000Xuow7QAB,75,REJECTED,Not_collected,R01,2025-11-17,REJECTED,PENDING,,,2025-10-01,ResumenOctNovDec2025.pdf,collections,NSF 9 10-01,PENDING,OTRO_DESAJUSTE,False,False,2026-08-04T12:14:34.000+0000,
T4_SUBESTADO_MENOR,PY-01736643,00313321,a04UU000004G4GgYAK,79,REJECTED,Not_collected,R01,2025-11-05,REJECTED,PENDING,,,2025-10-01,ResumenOctNovDec2025.pdf,collections,NSF 9 10-01,PENDING,OTRO_DESAJUSTE,False,False,2026-08-04T12:14:34.000+0000,
T4_SUBESTADO_MENOR,PY-01736677,00313920,a04UU000007gB7tYAE,79,REJECTED,Not_collected,R01,2025-11-17,REJECTED,PENDING,,,2025-10-01,ResumenOctNovDec2025.pdf,collections,NSF 9 10-01,PENDING,OTRO_DESAJUSTE,False,False,2026-08-04T12:14:35.000+0000,
T4_SUBESTADO_MENOR,PY-01736722,00314777,a04UU00000C7TPnYAN,79,REJECTED,Not_collected,R01,2025-11-17,REJECTED,PENDING,,,2025-10-01,ResumenOctNovDec2025.pdf,collections,NSF 9 10-01,PENDING,OTRO_DESAJUSTE,False,False,2026-08-04T12:14:35.000+0000,
T4_SUBESTADO_MENOR,PY-01738649,00314090,a04UU0000087SZFYA2,79,REJECTED,Not_collected,R01,2025-11-21,REJECTED,PENDING,,,2025-10-07,ResumenOctNovDec2025.pdf,collections,NSF 13 10-07,PENDING,OTRO_DESAJUSTE,False,False,2026-08-04T12:14:35.000+0000,
T4_SUBESTADO_MENOR,PY-01741824,00312713,a04UU000001bZpUYAU,49,REJECTED,Not_collected,R01,2025-12-03,REJECTED,PENDING,,,2025-10-16,ResumenOctNovDec2025.pdf,collections,NSF 19 10-16,PENDING,OTRO_DESAJUSTE,False,False,2026-08-04T12:15:34.000+0000,
