invoice_id,credit_note_id,tiene_payment_en_salesforce,estatus_del_payment
9488,CN-486,SI,REJECTED x1
9605,CN-485,SI,REJECTED x2
9300,CN-484,SI,REJECTED x1
2512,CN-483,SI,REJECTED x30
4625,CN-482,SI,REJECTED x13
6940,CN-481,SI,REJECTED x9
9346,CN-480,SI,REJECTED x1
9410,CN-479,SI,REJECTED x1
7543,CN-478,SI,REJECTED x6
7681,CN-477,SI,REJECTED x6
8608,CN-476,SI,REJECTED x3
8971,CN-475,SI,REJECTED x2
8612,CN-474,SI,REJECTED x3
8973,CN-473,SI,REJECTED x2
6842,CN-472,SI,REJECTED x3
7002,CN-471,SI,REJECTED x9
7307,CN-470,SI,REJECTED x6
3419,CN-469,SI,REJECTED x7
5271,CN-468,SI,REJECTED x1
5351,CN-467,SI,REJECTED x1
7650,CN-466,SI,REJECTED x2
7663,CN-465,SI,REJECTED x1
3401,CN-464,SI,REJECTED x17
7942,CN-463,SI,REJECTED x6
2006,CN-462,SI,REJECTED x32
2081,CN-461,SI,REJECTED x26
4048,CN-460,SI,REJECTED x16
4173,CN-459,SI,REJECTED x16
6092,CN-458,SI,REJECTED x11
6452,CN-457,SI,REJECTED x10
8475,CN-456,SI,REJECTED x6
8843,CN-455,SI,REJECTED x5
683,CN-454,SI,REJECTED x34
689,CN-453,SI,REJECTED x30
3302,CN-452,SI,REJECTED x15
3374,CN-451,SI,REJECTED x7
5469,CN-450,SI,REJECTED x1
5563,CN-449,SI,REJECTED x1
7868,CN-448,SI,REJECTED x1
7965,CN-447,SI,REJECTED x1
677,CN-446,SI,REJECTED x39
680,CN-445,SI,REJECTED x36
2179,CN-444,SI,REJECTED x28
2209,CN-443,SI,REJECTED x25
4286,CN-442,SI,REJECTED x16
4322,CN-441,SI,REJECTED x15
6565,CN-440,SI,REJECTED x10
6650,CN-439,SI,REJECTED x9
8976,CN-438,SI,REJECTED x6
9062,CN-437,SI,REJECTED x4
371,CN-436,SI,REJECTED x42
2553,CN-435,SI,REJECTED x24
2560,CN-434,SI,REJECTED x22
4664,CN-433,SI,REJECTED x12
4870,CN-432,SI,REJECTED x12
6990,CN-431,SI,REJECTED x8
7212,CN-430,SI,REJECTED x8
194,CN-429,SI,REJECTED x51
455,CN-428,SI,REJECTED x40
5276,CN-427,SI,REJECTED x11
5354,CN-426,SI,REJECTED x11
7657,CN-425,SI,REJECTED x7
7746,CN-424,SI,REJECTED x7
935,CN-423,SI,REJECTED x30
3163,CN-422,SI,REJECTED x19
5280,CN-421,SI,REJECTED x11
5356,CN-420,SI,REJECTED x11
7661,CN-419,SI,REJECTED x7
7748,CN-418,SI,REJECTED x7
1043,CN-417,SI,REJECTED x27
1044,CN-416,SI,REJECTED x27
3250,CN-415,SI,REJECTED x18
5456,CN-414,SI,REJECTED x11
7771,CN-413,SI,REJECTED x7
7847,CN-412,SI,REJECTED x6
4975,CN-409,SI,REJECTED x13
7327,CN-408,SI,REJECTED x5
7587,CN-407,SI,REJECTED x5
7145,CN-406,SI,REJECTED x8
4772,CN-405,SI,REJECTED x10
5831,CN-404,SI,REJECTED x9
6319,CN-403,SI,REJECTED x9
8259,CN-402,SI,REJECTED x4
8712,CN-401,SI,REJECTED x3
7247,CN-400,SI,REJECTED x9
7577,CN-399,SI,REJECTED x6
7709,CN-398,SI,REJECTED x6
4312,CN-396,SI,REJECTED x9
4359,CN-395,SI,REJECTED x9
6634,CN-394,SI,REJECTED x2
6719,CN-393,SI,REJECTED x1
5981,CN-392,SI,REJECTED x2
6401,CN-391,SI,REJECTED x1
8401,CN-390,SI,REJECTED x1
8787,CN-389,SI,REJECTED x1
2419,CN-388,SI,REJECTED x11
2456,CN-387,SI,REJECTED x8
4531,CN-386,SI,REJECTED x1
4634,CN-385,SI,REJECTED x1
6854,CN-384,SI,REJECTED x1
6949,CN-383,SI,REJECTED x1
2994,CN-382,SI,REJECTED x17
5128,CN-381,SI,REJECTED x9
5251,CN-380,SI,REJECTED x10
7484,CN-379,SI,REJECTED x4
7627,CN-378,SI,REJECTED x3
1052,CN-377,SI,REJECTED x25
3238,CN-376,SI,REJECTED x16
3288,CN-375,SI,REJECTED x16
5400,CN-374,SI,REJECTED x10
5518,CN-373,SI,REJECTED x9
