invoice_id,credit_note_id,invoice_total_usd,write_off_amount_usd,contract_number,contract_status_sf,en_lista_cancelacion,payment_existe_en_sf,payment_count,payment_status_breakdown,payment_accepted_amount_usd,payment_annotation,customer_id
9488,CN-486,69.0,69.0,00315475,Finalized,NO,SI - SOLO RECHAZADOS,1,{'REJECTED': 1},0,,a5jUU000000DRgjYAG
9605,CN-485,75.0,75.0,00317926,Cancelled,NO,SI - SOLO RECHAZADOS,2,{'REJECTED': 2},0,,a5jUU000000EvRRYA0
9300,CN-484,99.0,99.0,00318504,Cancelled,NO,SI - SOLO RECHAZADOS,1,{'REJECTED': 1},0,,a5jUU000000Fm17YAC
2512,CN-483,139.0,139.0,00316693,Cancelled,NO,SI - SOLO RECHAZADOS,30,{'REJECTED': 30},0,,a5jUU000000CaMHYA0
4625,CN-482,139.0,139.0,00316693,Cancelled,NO,SI - SOLO RECHAZADOS,13,{'REJECTED': 13},0,,a5jUU000000CaMHYA0
6940,CN-481,139.0,139.0,00316693,Cancelled,NO,SI - SOLO RECHAZADOS,9,{'REJECTED': 9},0,,a5jUU000000CaMHYA0
9346,CN-480,139.0,139.0,00316693,Cancelled,NO,SI - SOLO RECHAZADOS,1,{'REJECTED': 1},0,,a5jUU000000CaMHYA0
9410,CN-479,25.0,25.0,00316693,Cancelled,NO,SI - SOLO RECHAZADOS,1,{'REJECTED': 1},0,,a5jUU000000CaMHYA0
7543,CN-478,79.0,79.0,00314952,Cancelled,NO,SI - SOLO RECHAZADOS,6,{'REJECTED': 6},0,,a5jUU000000DLrRYAW
7681,CN-477,25.0,25.0,00314952,Cancelled,NO,SI - SOLO RECHAZADOS,6,{'REJECTED': 6},0,,a5jUU000000DLrRYAW
8608,CN-476,99.0,99.0,00318348,Cancelled,NO,SI - SOLO RECHAZADOS,3,{'REJECTED': 3},0,,a5jUU000000FXIDYA4
8971,CN-475,25.0,25.0,00318348,Cancelled,NO,SI - SOLO RECHAZADOS,2,{'REJECTED': 2},0,,a5jUU000000FXIDYA4
8612,CN-474,99.0,99.0,00318287,Cancelled,NO,SI - SOLO RECHAZADOS,3,{'REJECTED': 3},0,,a5jUU000000FTePYAW
8973,CN-473,25.0,25.0,00318287,Cancelled,NO,SI - SOLO RECHAZADOS,2,{'REJECTED': 2},0,,a5jUU000000FTePYAW
6842,CN-472,99.0,99.0,00318185,Cancelled,NO,SI - SOLO RECHAZADOS,3,{'REJECTED': 3},0,,a5jUU000000FMQ1YAO
7002,CN-471,139.0,139.0,00318163,Cancelled,NO,SI - SOLO RECHAZADOS,9,{'REJECTED': 9},0,,a5jUU000000FKknYAG
7307,CN-470,25.0,25.0,00318163,Cancelled,NO,SI - SOLO RECHAZADOS,6,{'REJECTED': 6},0,,a5jUU000000FKknYAG
3419,CN-469,25.0,25.0,00317764,Cancelled,NO,SI - SOLO RECHAZADOS,7,{'REJECTED': 7},0,,a5jUU000000EiafYAC
5271,CN-468,99.0,99.0,00317764,Cancelled,NO,SI - SOLO RECHAZADOS,1,{'REJECTED': 1},0,,a5jUU000000EiafYAC
5351,CN-467,25.0,25.0,00317764,Cancelled,NO,SI - SOLO RECHAZADOS,1,{'REJECTED': 1},0,,a5jUU000000EiafYAC
7650,CN-466,99.0,99.0,00317764,Cancelled,NO,SI - SOLO RECHAZADOS,2,{'REJECTED': 2},0,,a5jUU000000EiafYAC
7663,CN-465,25.0,25.0,00317764,Cancelled,NO,SI - SOLO RECHAZADOS,1,{'REJECTED': 1},0,,a5jUU000000EiafYAC
3401,CN-464,139.0,139.0,00316749,Cancelled,NO,SI - SOLO RECHAZADOS,17,{'REJECTED': 17},0,,a5jUU000000CcpVYAS
7942,CN-463,139.0,139.0,00316749,Cancelled,NO,SI - SOLO RECHAZADOS,6,{'REJECTED': 6},0,,a5jUU000000CcpVYAS
2006,CN-462,89.0,89.0,00317104,Cancelled,NO,SI - SOLO RECHAZADOS,32,{'REJECTED': 32},0,,a5jUU000000DcaXYAS
2081,CN-461,25.0,25.0,00317104,Cancelled,NO,SI - SOLO RECHAZADOS,26,{'REJECTED': 26},0,,a5jUU000000DcaXYAS
4048,CN-460,89.0,89.0,00317104,Cancelled,NO,SI - SOLO RECHAZADOS,16,{'REJECTED': 16},0,,a5jUU000000DcaXYAS
4173,CN-459,25.0,25.0,00317104,Cancelled,NO,SI - SOLO RECHAZADOS,16,{'REJECTED': 16},0,,a5jUU000000DcaXYAS
6092,CN-458,89.0,89.0,00317104,Cancelled,NO,SI - SOLO RECHAZADOS,11,{'REJECTED': 11},0,,a5jUU000000DcaXYAS
6452,CN-457,25.0,25.0,00317104,Cancelled,NO,SI - SOLO RECHAZADOS,10,{'REJECTED': 10},0,,a5jUU000000DcaXYAS
8475,CN-456,89.0,89.0,00317104,Cancelled,NO,SI - SOLO RECHAZADOS,6,{'REJECTED': 6},0,,a5jUU000000DcaXYAS
8843,CN-455,25.0,25.0,00317104,Cancelled,NO,SI - SOLO RECHAZADOS,5,{'REJECTED': 5},0,,a5jUU000000DcaXYAS
683,CN-454,139.0,139.0,00316996,Activated,NO,SI - SOLO RECHAZADOS,34,{'REJECTED': 34},0,,a5jUU000000Crq9YAC
689,CN-453,25.0,25.0,00316996,Activated,NO,SI - SOLO RECHAZADOS,30,{'REJECTED': 30},0,,a5jUU000000Crq9YAC
3302,CN-452,139.0,139.0,00316996,Activated,NO,SI - SOLO RECHAZADOS,15,{'REJECTED': 15},0,,a5jUU000000Crq9YAC
3374,CN-451,25.0,25.0,00316996,Activated,NO,SI - SOLO RECHAZADOS,7,{'REJECTED': 7},0,,a5jUU000000Crq9YAC
5469,CN-450,139.0,139.0,00316996,Activated,NO,SI - SOLO RECHAZADOS,1,{'REJECTED': 1},0,,a5jUU000000Crq9YAC
5563,CN-449,25.0,25.0,00316996,Activated,NO,SI - SOLO RECHAZADOS,1,{'REJECTED': 1},0,,a5jUU000000Crq9YAC
7868,CN-448,139.0,139.0,00316996,Activated,NO,SI - SOLO RECHAZADOS,1,{'REJECTED': 1},0,,a5jUU000000Crq9YAC
7965,CN-447,25.0,25.0,00316996,Activated,NO,SI - SOLO RECHAZADOS,1,{'REJECTED': 1},0,,a5jUU000000Crq9YAC
677,CN-446,139.0,139.0,00317071,Cancelled,NO,SI - SOLO RECHAZADOS,39,{'REJECTED': 39},0,,a5jUU000000DIITYA4
680,CN-445,25.0,25.0,00317071,Cancelled,NO,SI - SOLO RECHAZADOS,36,{'REJECTED': 36},0,,a5jUU000000DIITYA4
2179,CN-444,139.0,139.0,00317071,Cancelled,NO,SI - SOLO RECHAZADOS,28,{'REJECTED': 28},0,,a5jUU000000DIITYA4
2209,CN-443,25.0,25.0,00317071,Cancelled,NO,SI - SOLO RECHAZADOS,25,{'REJECTED': 25},0,,a5jUU000000DIITYA4
4286,CN-442,139.0,139.0,00317071,Cancelled,NO,SI - SOLO RECHAZADOS,16,{'REJECTED': 16},0,,a5jUU000000DIITYA4
4322,CN-441,25.0,25.0,00317071,Cancelled,NO,SI - SOLO RECHAZADOS,15,{'REJECTED': 15},0,,a5jUU000000DIITYA4
6565,CN-440,139.0,139.0,00317071,Cancelled,NO,SI - SOLO RECHAZADOS,10,{'REJECTED': 10},0,,a5jUU000000DIITYA4
6650,CN-439,25.0,25.0,00317071,Cancelled,NO,SI - SOLO RECHAZADOS,9,{'REJECTED': 9},0,,a5jUU000000DIITYA4
