Payment_Name,Id,Contrato,Monto,Reporte_Ganador,Fecha_Transaccion,Fecha_Reporte_Real,Motivo_Reporte,Actual_Payment_Status,Actual_Collection_Status,Actual_Return_Code,Actual_Reason,Nuevo_Payment_Status,Nuevo_Collection_Status,Nuevo_Return_Code,Nuevo_Reason,Historico_SF
PY-01847651,a24UU000004eHHyYAM,00316701,124,collections,2026-06-12,2026-06-15,R10 CUST ADV NOT,REJECTED,PENDING,R10,R10,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,PRC_AUT: PENDING //
PY-01847653,a24UU000004eHI0YAM,00316700,104,collections,2026-06-12,2026-06-15,R10 CUST ADV NOT,REJECTED,PENDING,R10,R10,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,PRC_AUT: PENDING //
PY-01849219,a24UU000004fxExYAI,00316581,99,collections,2026-06-30,2026-07-01,R10 CUST ADV NOT,REJECTED,PENDING,R10,R10,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,PRC_AUT: PENDING //
PY-01849469,a24UU000004gRzPYAU,00316851,139,collections,2026-07-23,2026-07-24,R10 CUST ADV NOT,REJECTED,PENDING,R10,R10,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,"PRC_AUT: PENDING //PRC_AUT: PENDING //ACCEPTED>NOT COLLECTED X DIAS (75 CAL,)_1849469_u.240826 // ACH TRX>ACCEPTED_1849469__u.250626"
PY-01859586,a24UU000004ogtEYAQ,00314671,75,collections,2026-07-02,2026-07-08,R10 CUST ADV NOT,REJECTED,Not_collected,R01-R10,R10,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,
PY-01859726,a24UU000004ogvUYAQ,00317434,99,collections,2026-08-11,2026-08-12,R10 CUST ADV NOT,REJECTED,PENDING,R10,R10,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,"PRC_AUT: PENDING //PRC_AUT_MANUAL_FIX: PENDING //PRC_AUT: RETURN //PENDING>NOT COLLECTED X DIAS (55 CAL,)_1859726_u.240826 // ACH TRX>ACCEPTED_1859726"
PY-01865165,a24UU000004tMe8YAE,00316851,139,collections,2026-07-23,2026-07-24,R10 CUST ADV NOT,REJECTED,PENDING,R10,R10,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,"PRC_AUT: PENDING //PRC_AUT: PENDING //PENDING>NOT COLLECTED X DIAS (45 CAL,)_1865165_u.240826 //"
PY-01868816,a24UU000004yU5rYAE,00316444,99,collections,2026-09-04,2026-09-08,R10 CUST ADV NOT,ACCEPTED,ACCEPTED,,,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,
PY-01869482,a24UU000004zam7YAA,00317418,75,returns,2026-07-30,2026-08-19,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,,REJECTED,NOT_COLLECTED,R10,CUSTOMER ADVISES NOT AUTHORIZED,"RETURN>RETURN>NOT COLLECTED X DIAS (32 CAL,)_1869482_u.240826 // ACH TRX>ACCEPTED_07ago26__U.110826"
PY-01872218,a24UU0000052T7BYAU,00317434,99,returns,2026-07-30,2026-08-11,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,,REJECTED,NOT_COLLECTED,R10,CUSTOMER ADVISES NOT AUTHORIZED,"RETURN>RETURN>NOT COLLECTED X DIAS (27 CAL,)_1872218_u.250826 // REV trx TO acc 25AGO"
PY-01872289,a24UU0000052T8KYAU,00317418,75,collections,2026-08-19,2026-08-20,R10 CUST ADV NOT,REJECTED,PENDING,R10,R10,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,"PRC_AUT: PENDING //PRC_AUT: PENDING //PRC_AUT: RETURN //PENDING>NOT COLLECTED X DIAS (27 CAL,)_1872289_u.250826 // REV trx TO acc 25AGO"
PY-01880352,a24UU0000059CEcYAM,00274687,166.14,returns,2026-08-13,2026-08-17,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,,REJECTED,NOT_COLLECTED,R10,CUSTOMER ADVISES NOT AUTHORIZED,
PY-01880378,a24UU0000059CF2YAM,00304787,188.44,returns,2026-08-13,2026-08-27,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,,REJECTED,NOT_COLLECTED,R10,CUSTOMER ADVISES NOT AUTHORIZED,
PY-01880427,a24UU0000059CFpYAM,00317867,139,returns,2026-08-13,2026-08-27,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,,REJECTED,NOT_COLLECTED,R10,CUSTOMER ADVISES NOT AUTHORIZED,
PY-01883331,a24UU000005BPmnYAG,00316864,75,returns,2026-08-18,2026-09-03,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,,REJECTED,NOT_COLLECTED,R10,CUSTOMER ADVISES NOT AUTHORIZED,PRC_AUT: RETURN //PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01884599,a24UU000005CWUuYAO,00316755,124,returns,2026-08-20,2026-09-03,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,,REJECTED,NOT_COLLECTED,R10,CUSTOMER ADVISES NOT AUTHORIZED,PRC_AUT: RETURN //
PY-01884645,a24UU000005CWVeYAO,00310862,94,returns,2026-08-20,2026-09-02,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,,REJECTED,NOT_COLLECTED,R10,CUSTOMER ADVISES NOT AUTHORIZED,PRC_AUT: RETURN //
PY-01884676,a24UU000005CWW9YAO,00317478,124,returns,2026-08-20,2026-08-24,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,,REJECTED,NOT_COLLECTED,R10,CUSTOMER ADVISES NOT AUTHORIZED,
PY-01884692,a24UU000005CWWPYA4,00310862,94,returns,2026-08-20,2026-09-02,CUSTOMER ADVISES NOT AUTHORIZED,REJECTED,RETURN,R10,,REJECTED,NOT_COLLECTED,R10,CUSTOMER ADVISES NOT AUTHORIZED,PRC_AUT: RETURN //
PY-01885207,a24UU000005D3dMYAS,00316444,99,returns,2026-08-21,,CUSTOMER ADVISES NOT AUTHORIZED,ACCEPTED,COLLECTED,,,REJECTED,NOT_COLLECTED,R10,CUSTOMER ADVISES NOT AUTHORIZED,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01889059,a24UU000005GDL1YAO,00314671,75,collections,2026-08-31,,R10 CUST ADV NOT,REJECTED,PENDING,R10,R10,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,PRC_AUT: PENDING //PRC_AUT: PENDING //
PY-01889111,a24UU000005GDLrYAO,00315994,79,collections,2026-08-31,,R10 CUST ADV NOT,REJECTED,PENDING,R10,R10,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,PRC_AUT: PENDING //PRC_AUT: PENDING //
PY-01894616,a24UU000005Jg4SYAS,00317509,99,collections,2026-09-04,2026-09-08,R10 CUST ADV NOT,REJECTED,PENDING,R10,R10,REJECTED,NOT_COLLECTED,R10,R10 CUST ADV NOT,PRC_AUT: PENDING //PRC_AUT: RETURN //
