ContractNumber,ContractStatus,TotalPayments,Accepted,Rejected,PctAccepted,Health,N_LPF_Stopped,LPF_Total_Amt,LPF_Penalty_Amt
00316708,Activated,20,1,19,5.0,CRITICO,9,911,200
00312743,Activated,40,25,15,62.5,MIXTO,6,624,150
00314584,Activated,26,12,14,46.2,CRITICO,6,600,150
00314018,Activated,27,17,10,63.0,MIXTO,5,520,125
00314023,Activated,92,17,75,18.5,CRITICO,5,620,125
00314801,Activated,25,14,10,56.0,MIXTO,5,520,125
00314802,Activated,22,16,5,72.7,MIXTO,5,520,125
00315899,Activated,15,3,12,20.0,CRITICO,5,520,125
00316169,Activated,15,4,11,26.7,CRITICO,5,620,125
00316623,Cancelled,10,2,8,20.0,CRITICO,5,620,125
00310862,Activated,53,42,11,79.2,MIXTO,4,376,100
00313308,Activated,37,21,16,56.8,MIXTO,4,416,100
00309371,Activated,56,48,8,85.7,SANO,3,312,75
00315916,Activated,12,5,7,41.7,CRITICO,3,312,75
00316478,Activated,14,2,12,14.3,CRITICO,3,372,75
00316755,Activated,11,2,9,18.2,CRITICO,3,372,75
00316964,Activated,9,3,6,33.3,CRITICO,3,492,75
00316991,Activated,10,6,3,60.0,MIXTO,3,372,75
00317116,Activated,7,1,6,14.3,CRITICO,3,372,75
00317797,Activated,5,0,5,0.0,CRITICO,3,372,75
00241600,Activated,78,73,5,93.6,SANO,2,208,50
00304492,Activated,70,66,4,94.3,SANO,2,208,50
00312285,Activated,38,34,4,89.5,SANO,2,208,50
00313523,Activated,27,23,4,85.2,SANO,2,208,50
00314379,Activated,52,17,35,32.7,CRITICO,2,200,50
00315538,Activated,12,6,6,50.0,MIXTO,2,288,50
00316129,Activated,20,7,13,35.0,CRITICO,2,248,50
00316152,Activated,12,6,6,50.0,MIXTO,2,288,50
00316181,Activated,9,5,4,55.6,MIXTO,2,288,50
00316302,Cancelled,12,3,9,25.0,CRITICO,2,248,50
00316863,Activated,11,8,2,72.7,MIXTO,2,248,50
00316916,Activated,8,5,2,62.5,MIXTO,2,328,50
00317062,Activated,7,3,4,42.9,CRITICO,2,248,50
00317299,Activated,7,1,6,14.3,CRITICO,2,328,50
00317562,Activated,5,1,4,20.0,CRITICO,2,328,50
00317679,Activated,4,1,3,25.0,CRITICO,2,248,50
00317710,Activated,3,1,2,33.3,CRITICO,2,248,50
00242758,Activated,93,88,5,94.6,SANO,1,104,25
00249998,Activated,67,65,1,97.0,SANO,1,94,25
00254865,Activated,65,62,2,95.4,SANO,1,94,25
00263219,Activated,71,69,2,97.2,SANO,1,94,25
00267532,Activated,72,66,6,91.7,SANO,1,104,25
00270432,Activated,81,68,13,84.0,SANO,1,94,25
00274687,Activated,73,69,3,94.5,SANO,1,74,25
00275989,Activated,85,70,15,82.4,SANO,1,104,25
00279735,Activated,71,69,2,97.2,SANO,1,74,25
00283367,Activated,76,72,4,94.7,SANO,1,104,25
00304787,Activated,65,61,4,93.8,SANO,1,94,25
00308830,Activated,72,50,22,69.4,MIXTO,1,74,25
00308940,Activated,57,55,2,96.5,SANO,1,74,25
00309448,Activated,57,50,6,87.7,SANO,1,94,25
00309536,Activated,52,50,1,96.2,SANO,1,104,25
00309753,Activated,49,47,1,95.9,SANO,1,94,25
00311214,Activated,48,42,6,87.5,SANO,1,104,25
00311265,Activated,51,43,7,84.3,SANO,1,94,25
00311624,Activated,42,36,6,85.7,SANO,1,94,25
00312122,Activated,38,37,1,97.4,SANO,1,104,25
00312255,Activated,37,36,1,97.3,SANO,1,104,25
00312538,Activated,34,32,2,94.1,SANO,1,100,25
00312584,Activated,34,32,1,94.1,SANO,1,104,25
00312959,Activated,33,27,6,81.8,SANO,1,104,25
00312961,Activated,30,28,2,93.3,SANO,1,104,25
00313375,Activated,28,24,4,85.7,SANO,1,124,25
00313416,Activated,37,24,13,64.9,MIXTO,1,124,25
00313481,Activated,27,25,2,92.6,SANO,1,104,25
00313545,Activated,27,24,3,88.9,SANO,1,104,25
00313880,Cancelled,25,18,7,72.0,MIXTO,1,104,25
00313882,Activated,25,19,6,76.0,MIXTO,1,100,25
00313898,Activated,24,23,1,95.8,SANO,1,104,25
00313979,Activated,28,21,7,75.0,MIXTO,1,74,25
00313996,Activated,23,21,2,91.3,SANO,1,104,25
00314094,Activated,31,15,16,48.4,CRITICO,1,104,25
00314246,Activated,22,17,5,77.3,MIXTO,1,114,25
00314319,Activated,21,17,4,81.0,SANO,1,114,25
00314444,Activated,31,22,8,71.0,MIXTO,1,104,25
00314569,Activated,18,17,1,94.4,SANO,1,104,25
00314638,Activated,19,17,1,89.5,SANO,1,104,25
00314671,Activated,19,15,3,78.9,MIXTO,1,100,25
00314677,Activated,18,13,5,72.2,MIXTO,1,104,25
00314762,Activated,19,16,3,84.2,SANO,1,104,25
00314772,Activated,17,16,1,94.1,SANO,1,104,25
00315003,Activated,15,12,3,80.0,SANO,1,124,25
00315052,Activated,14,11,3,78.6,MIXTO,1,104,25
00315109,Activated,16,13,2,81.2,SANO,1,104,25
00315218,Activated,16,10,6,62.5,MIXTO,1,104,25
00315252,Activated,13,11,1,84.6,SANO,1,104,25
00315278,Activated,12,10,2,83.3,SANO,1,104,25
00315279,Activated,13,8,5,61.5,MIXTO,1,104,25
00315339,Activated,13,11,2,84.6,SANO,1,104,25
00315429,Activated,10,6,4,60.0,MIXTO,1,94,25
00315451,Activated,10,9,1,90.0,SANO,1,94,25
00315550,Activated,12,11,1,91.7,SANO,1,94,25
00315576,Activated,12,10,1,83.3,SANO,1,94,25
00315598,Activated,23,4,19,17.4,CRITICO,1,94,25
00315670,Activated,12,11,1,91.7,SANO,1,94,25
00315717,Activated,12,8,3,66.7,MIXTO,1,94,25
00315816,Activated,10,8,1,80.0,SANO,1,94,25
00315833,Activated,11,8,3,72.7,MIXTO,1,94,25
00315839,Activated,10,7,3,70.0,MIXTO,1,94,25
00315932,Activated,10,8,1,80.0,SANO,1,104,25
00315994,Activated,10,8,2,80.0,SANO,1,104,25
00316065,Activated,11,5,6,45.5,CRITICO,1,144,25
00316097,Activated,24,7,17,29.2,CRITICO,1,124,25
00316275,Activated,9,8,1,88.9,SANO,1,124,25
00316384,Activated,8,7,1,87.5,SANO,1,104,25
00316395,Cancelled,12,5,6,41.7,CRITICO,1,124,25
00316426,Activated,11,2,9,18.2,CRITICO,1,124,25
00316463,Activated,13,11,1,84.6,SANO,1,124,25
00316516,Activated,9,7,1,77.8,MIXTO,1,124,25
00316568,Activated,9,5,4,55.6,MIXTO,1,124,25
00316619,Activated,9,4,5,44.4,CRITICO,1,124,25
00316676,Activated,8,6,1,75.0,MIXTO,1,164,25
00316680,Activated,7,6,1,85.7,SANO,1,164,25
00316720,Activated,10,3,7,30.0,CRITICO,1,164,25
00316756,Activated,8,4,3,50.0,MIXTO,1,114,25
00316762,Activated,7,5,2,71.4,MIXTO,1,114,25
00316780,Activated,13,11,1,84.6,SANO,1,124,25
00316812,Activated,8,3,5,37.5,CRITICO,1,114,25
