Name,SM_Contract__r.ContractNumber,Payment_Status__c,SM_Check_Collection_Status__c,SM_Return_code__c,SM_Amount__c,SM_Transmission_Date_ACH_File__c,SM_Historical_Collection_Status__c
PY-01880287,00315422,ACCEPTED,COLLECTED,,69,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880289,00316351,ACCEPTED,COLLECTED,,99,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880290,00316500,ACCEPTED,COLLECTED,,79,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880291,00316828,ACCEPTED,COLLECTED,,139,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880292,00317415,ACCEPTED,COLLECTED,,99,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880294,00317632,ACCEPTED,COLLECTED,,139,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880296,00317845,ACCEPTED,COLLECTED,,44.03,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880299,00318122,ACCEPTED,COLLECTED,,99,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880300,00318194,ACCEPTED,COLLECTED,,139,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880301,00318193,ACCEPTED,COLLECTED,,99,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880302,00318206,ACCEPTED,COLLECTED,,99,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880303,00318212,ACCEPTED,COLLECTED,,139,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880305,00318211,ACCEPTED,COLLECTED,,99,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880306,00318213,ACCEPTED,COLLECTED,,99,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880308,00318230,ACCEPTED,COLLECTED,,119,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880309,00241219,ACCEPTED,COLLECTED,,169,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880310,00241461,ACCEPTED,COLLECTED,,188.44,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880313,00242904,ACCEPTED,COLLECTED,,166.14,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880314,00243412,ACCEPTED,COLLECTED,,132.69,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880315,00243955,ACCEPTED,COLLECTED,,110.39,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880317,00245228,ACCEPTED,COLLECTED,,166.14,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880318,00245793,ACCEPTED,COLLECTED,,121.54,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880319,00246052,ACCEPTED,COLLECTED,,121.54,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880320,00246159,ACCEPTED,COLLECTED,,121.54,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880321,00248001,ACCEPTED,COLLECTED,,166.14,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880324,00249049,ACCEPTED,COLLECTED,,121.54,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880325,00249998,ACCEPTED,COLLECTED,,188.44,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880326,00250539,ACCEPTED,COLLECTED,,121.54,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880327,00253616,ACCEPTED,COLLECTED,,188.44,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880328,00254714,ACCEPTED,COLLECTED,,121.54,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880330,00255430,ACCEPTED,COLLECTED,,166.14,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880331,00257825,ACCEPTED,COLLECTED,,166.14,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880332,00258583,ACCEPTED,COLLECTED,,110.39,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880334,00259519,ACCEPTED,COLLECTED,,121.54,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880335,00259641,ACCEPTED,COLLECTED,,110.39,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880336,00260543,ACCEPTED,COLLECTED,,121.54,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880337,00260729,ACCEPTED,COLLECTED,,188.44,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880338,00261332,ACCEPTED,COLLECTED,,188.44,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880340,00263219,ACCEPTED,COLLECTED,,166.14,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880341,00263246,ACCEPTED,COLLECTED,,166.14,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880343,00264833,ACCEPTED,COLLECTED,,132.69,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880344,00267532,ACCEPTED,COLLECTED,,177.29,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
PY-01880345,00269600,ACCEPTED,COLLECTED,,121.54,2026-08-12,PRC_AUT_15D_SIN_REPORTE: ACCEPTED //
