Payment_Name,ContractNumber,ContractStatus,Amount,Days,Payment_Status,CCS,ReturnCode,TestVIP
PY-01804536,00315849,Activated,69,194,REJECTED,RETURN,R01,False
PY-01807462,00316097,Activated,124,187,REJECTED,RETURN,R01,False
PY-01807474,00316097,Activated,124,187,REJECTED,RETURN,R01,False
PY-01807476,00316366,Activated,124,187,REJECTED,RETURN,R01,False
PY-01849469,00316851,Activated,139,104,REJECTED,PENDING,R10,False
PY-01859726,00317434,Activated,99,85,REJECTED,PENDING,R10,False
PY-01865165,00316851,Activated,139,75,REJECTED,PENDING,R10,False
PY-01872218,00317434,Activated,99,55,REJECTED,RETURN,R10,False
PY-01880352,00274687,Activated,166.14,41,REJECTED,RETURN,R10,False
PY-01880378,00304787,Activated,188.44,41,REJECTED,RETURN,R10,False
PY-01880427,00317867,Activated,139,41,REJECTED,RETURN,R10,False
PY-01883331,00316864,Activated,75,36,REJECTED,RETURN,R10,False
PY-01884599,00316755,Activated,124,34,REJECTED,RETURN,R10,False
PY-01884645,00310862,Activated,94,34,REJECTED,RETURN,R10,False
PY-01884692,00310862,Activated,94,34,REJECTED,RETURN,R10,False
