Payment_Name,ContractNumber,ContractStatus,Amount,Days,Current_Payment_Status,Current_CCS,Expected_Payment_Status,Expected_CCS,Basis,Report_File,Report_Date,TestVIP,Estado_Aplicado
PY-01773073,00316203,Cancelled,119,260,REJECTED,NOT_COLLECTED,ACCEPTED,COLLECTED,reporte,Check Collections Jan 23 2026.pdf,2026-01-07,False,APLICADO 2026-09-23
PY-01776680,00315429,Activated,69,256,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections Jan 14-15 2026.pdf,2026-01-13,False,
PY-01776759,00315676,Activated,69,253,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections Jan 14-15 2026.pdf,2026-01-14,False,
PY-01778054,00309301,Activated,79,251,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections Jan 20 2026.pdf,2026-01-16,False,
PY-01778067,00312779,Activated,49,251,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections Jan 20 2026.pdf,2026-01-16,False,
PY-01779105,00311264,Activated,79,250,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections Jan 21 2026.pdf,2026-01-20,False,
PY-01795700,00316503,Cancelled,99,215,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections Feb 24-25 2026.pdf,2026-02-23,False,
PY-01804492,00311449,Activated,69,194,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections Marh 17-18 2026.pdf,2026-03-16,False,
PY-01810158,00315299,Cancelled,75,180,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections Marh 31 2026.pdf,2026-03-30,False,
PY-01810159,00315300,Cancelled,75,180,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections Marh 31 2026.pdf,2026-03-30,False,
PY-01810269,00316964,Activated,139,180,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections Marh 31 2026.pdf,2026-03-30,False,
PY-01812395,00316490,Cancelled,99,176,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 2-3 2026.pdf,2026-04-01,False,
PY-01816068,00312597,Activated,79,166,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 13-14 2026.pdf,2026-04-13,False,
PY-01817864,00312121,Activated,75,162,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 16 2026.pdf,2026-04-15,False,
PY-01817956,00312121,Activated,75,161,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 17 2026.pdf,2026-04-16,False,
PY-01817965,00313072,Cancelled,79,161,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 20 2026.pdf,2026-04-17,False,
PY-01818438,00313524,Cancelled,79,160,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 21 2026.pdf,2026-04-20,False,
PY-01818483,00270432,Activated,94,160,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 21 2026.pdf,2026-04-20,False,
PY-01818514,00315299,Cancelled,100,160,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 20 2026.pdf,2026-04-17,False,
PY-01818515,00315300,Cancelled,100,160,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 20 2026.pdf,2026-04-17,False,
PY-01818547,00315299,Cancelled,100,160,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 20 2026.pdf,2026-04-17,False,
PY-01818548,00315300,Cancelled,100,160,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 20 2026.pdf,2026-04-17,False,
PY-01818589,00315299,Cancelled,100,160,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 20 2026.pdf,2026-04-17,False,
PY-01818590,00315300,Cancelled,100,160,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 20 2026.pdf,2026-04-17,False,
PY-01818596,00270432,Activated,94,160,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 21 2026.pdf,2026-04-20,False,
PY-01819327,00317161,Activated,99,159,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 21 2026.pdf,2026-04-20,False,
PY-01820257,00316676,Activated,139,158,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 22 2026.pdf,2026-04-21,False,
PY-01821275,00314516,Cancelled,99,155,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_over_unresolved_report,Check Collections April 23-27 2026.pdf,2026-04-22,False,
