Payment_Name,ContractNumber,ContractStatus,SM_ACH_Order__c,Amount,Days_Since_Transmission,Current_Payment_Status__c,Current_Check_Collection_Status__c,Current_Return_code__c,Current_Check_Collection_Date__c,Expected_Payment_Status__c,Expected_Check_Collection_Status__c,Expected_Return_code__c,Expected_Return_Change__c,Basis,Report_Txn_Date,Report_Source_File,Reason,Section,Mismatch_Type,Accepted_By_Timeout_Routine,Is_Test_or_VIP_Contract,LastModifiedDate,SM_Historical_Collection_Status__c,Tier,flag_same_file_ambiguous,flag_date_later_plus_retcode,Estado_Aplicado
PY-01773056,00313119,Activated,a04UU000004JnqjYAC,75,260,REJECTED,PENDING,R01,2026-01-07,ACCEPTED,COLLECTED,,,collections,2026-01-07,Check Collections Jan 13 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01773068,00315884,Cancelled,a04UU00000GG7UAYA1,74.5,260,REJECTED,PENDING,,2026-01-07,ACCEPTED,COLLECTED,,,collections,2026-01-07,Check Collections Jan 16 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-09T15:04:42.000+0000,PRC_AUT: PENDING //PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,APLICADO 2026-09-22 (solo Cancelled)
PY-01774868,00315715,Cancelled,a04UU00000Grr3OYAR,69,260,REJECTED,PENDING,,2026-01-06,ACCEPTED,COLLECTED,,,collections,2026-01-06,Check Collections Jan 14-15 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-09T15:04:14.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,APLICADO 2026-09-22 (solo Cancelled)
PY-01785857,00304787,Activated,a041U00000Xup5IQAR,69,236,REJECTED,PENDING,R01,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 6 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01785888,00311624,Activated,a048W00008B9BlzQAF,69,236,REJECTED,PENDING,R01,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 6 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01785908,00312959,Activated,a04UU000002xcHxYAI,79,236,REJECTED,PENDING,R01,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 4 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01785911,00313014,Activated,a04UU0000033urxYAA,79,236,REJECTED,PENDING,R01,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 13 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01785922,00313324,Activated,a04UU000004JmEkYAK,79,236,REJECTED,PENDING,R01,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 11-12 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01785923,00313309,Activated,a04UU000004JnSXYA0,79,236,REJECTED,PENDING,R01,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 9 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01785954,00313880,Cancelled,a04UU0000080tHdYAI,79,236,REJECTED,PENDING,,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 13 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-09T15:20:25.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,APLICADO 2026-09-22 (solo Cancelled)
PY-01785967,00314528,Activated,a04UU00000Asz7BYAR,79,236,REJECTED,PENDING,R01,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 11-12 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01785975,00314677,Activated,a04UU00000BTZKHYA5,79,236,REJECTED,PENDING,R01,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 9 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01785980,00314783,Activated,a04UU00000C7extYAB,79,236,REJECTED,PENDING,R01,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 11-12 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01785995,00315052,Activated,a04UU00000DlqZyYAJ,79,236,REJECTED,PENDING,R01,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 4 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01786017,00315346,Cancelled,a04UU00000FsRx3YAF,79,236,REJECTED,PENDING,,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 6 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-09T15:20:25.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,APLICADO 2026-09-22 (solo Cancelled)
PY-01786039,00315733,Cancelled,a04UU00000GoMLtYAN,69,236,REJECTED,PENDING,,2026-01-30,ACCEPTED,COLLECTED,,,collections,2026-01-30,Check Collections Feb 11-12 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-09T15:19:21.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,APLICADO 2026-09-22 (solo Cancelled)
PY-01786049,00315714,Cancelled,a04UU00000GyRaQYAV,69,236,REJECTED,PENDING,,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 5 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-09T15:20:25.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,APLICADO 2026-09-22 (solo Cancelled)
PY-01786067,00315919,Cancelled,a04UU00000H68FeYAJ,79,236,REJECTED,PENDING,,2026-02-02,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 4 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-09T15:20:25.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,APLICADO 2026-09-22 (solo Cancelled)
PY-01787482,00313500,Activated,a04UU000005307AYAQ,79,235,REJECTED,PENDING,R01,2026-02-03,ACCEPTED,COLLECTED,,,collections,2026-02-03,Check Collections Feb 6 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01787487,00315860,Cancelled,a04UU00000GEikjYAD,69,235,REJECTED,PENDING,,2026-02-03,ACCEPTED,COLLECTED,,,collections,2026-02-03,Check Collections Feb 5 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-09T15:21:20.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,APLICADO 2026-09-22 (solo Cancelled)
PY-01788725,00311713,Activated,a048W000088trVTQAY,69,232,REJECTED,PENDING,R01,2026-02-04,ACCEPTED,COLLECTED,,,collections,2026-02-04,Check Collections Feb 6 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01788728,00313500,Activated,a04UU000005307AYAQ,79,232,REJECTED,PENDING,R01,2026-02-04,ACCEPTED,COLLECTED,,,collections,2026-02-04,Check Collections Feb 6 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
