Priority,Payment_Name,ContractNumber,SM_ACH_Order__c,Amount,Current_Payment_Status__c,Current_Check_Collection_Status__c,Current_Return_code__c,Current_Check_Collection_Date__c,Expected_Payment_Status__c,Expected_Check_Collection_Status__c,Expected_Return_code__c,Expected_Return_Change__c,Report_Txn_Date,Report_Source_File,Report_Type,Reason,Section,Mismatch_Type,Accepted_By_Timeout_Routine,Is_Test_or_VIP_Contract,LastModifiedDate,SM_Historical_Collection_Status__c,Estado_Aplicado
T1_CORREGIR_A_COBRADO,PY-01754186,00315110,a04UU00000E2uR4YAJ,79,REJECTED,PENDING,,2025-11-19,ACCEPTED,COLLECTED,,,2025-11-19,Check Collections Jan 2 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T14:47:03.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01756731,00313880,a04UU0000080tHdYAI,79,REJECTED,PENDING,,2025-11-28,ACCEPTED,COLLECTED,,,2025-11-28,Check Collections Jan 5-6 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T14:50:31.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01762889,00311797,a048W000088RGxJQAW,79,REJECTED,PENDING,,2025-12-12,ACCEPTED,COLLECTED,,,2025-12-12,Check Collections Jan 23 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T14:55:02.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01765921,00315386,a04UU00000GPiW7YAL,69,REJECTED,PENDING,,2025-12-18,ACCEPTED,COLLECTED,,,2025-12-18,Check Collections Feb 2 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T14:57:02.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01766010,00315974,a04UU00000GSGVFYA5,119,REJECTED,PENDING,,2025-12-19,ACCEPTED,COLLECTED,,,2025-12-19,Check Collections Jan 5-6 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T14:57:34.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01766908,00313562,a04UU000005bvNpYAI,99,REJECTED,PENDING,,2025-12-22,ACCEPTED,COLLECTED,,,2025-12-22,Check Collections Feb 5 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T14:58:01.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01766931,00315607,a04UU00000GdBNOYA3,94,REJECTED,PENDING,,2025-12-23,ACCEPTED,COLLECTED,,,2025-12-23,Check Collections Jan 9-12 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T14:58:32.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01769080,00315697,a04UU00000Gi9OAYAZ,69,REJECTED,PENDING,,2025-12-29,ACCEPTED,COLLECTED,,,2025-12-29,Check Collections Jan 8 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T14:59:37.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01769205,00313533,a04UU000005i04fYAA,99,REJECTED,PENDING,,2025-12-29,ACCEPTED,COLLECTED,,,2025-12-29,Check Collections Jan 26 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T14:59:37.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
T1_CORREGIR_A_COBRADO,PY-01769829,00315929,a04UU00000GL305YAD,74.5,REJECTED,PENDING,,2025-12-29,ACCEPTED,COLLECTED,,,2025-12-29,Check Collections Jan 13 2026.pdf,collections,NSF,COLLECTED,NUNCA_APLICADO (el reporte dice COLLECTED/ACCEPTED pero el registro se quedo en un estado anterior),False,False,2026-09-09T14:59:37.000+0000,PRC_AUT: PENDING //,APLICADO 2026-09-22
