Grupo,Payment_Name,ContractNumber,ContractStatus,Amount,Days,Current_Payment_Status,Current_CCS,Expected_Payment_Status,Expected_CCS,Basis,Return_code_actual,Report_File,Report_Return_code
G3_ACTIVO,PY-01776680,00315429,Activated,69,257,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections Jan 14-15 2026.pdf,
G3_ACTIVO,PY-01776759,00315676,Activated,69,254,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections Jan 14-15 2026.pdf,
G3_ACTIVO,PY-01778054,00309301,Activated,79,252,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections Jan 20 2026.pdf,
G3_ACTIVO,PY-01778067,00312779,Activated,49,252,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections Jan 20 2026.pdf,
G3_ACTIVO,PY-01779105,00311264,Activated,79,251,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections Jan 21 2026.pdf,
G1_CANCELLED,PY-01795700,00316503,Cancelled,99,216,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections Feb 24-25 2026.pdf,
G3_ACTIVO,PY-01804492,00311449,Activated,69,195,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections Marh 17-18 2026.pdf,
G1_CANCELLED,PY-01810158,00315299,Cancelled,75,181,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections Marh 31 2026.pdf,
G1_CANCELLED,PY-01810159,00315300,Cancelled,75,181,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections Marh 31 2026.pdf,
G3_ACTIVO,PY-01810269,00316964,Activated,139,181,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections Marh 31 2026.pdf,
