Payment_Name,SM_Transmission_Date_ACH_File__c,Amount
PY-01895363,2026-09-03,79.00
PY-01895364,2026-09-03,69.00
PY-01895365,2026-09-03,49.00
PY-01895366,2026-09-03,79.00
PY-01895367,2026-09-03,79.00
PY-01895368,2026-09-03,79.00
PY-01895369,2026-09-03,79.00
PY-01895370,2026-09-03,79.00
PY-01895371,2026-09-03,79.00
PY-01895372,2026-09-03,99.00
PY-01895373,2026-09-03,79.00
PY-01895374,2026-09-03,79.00
PY-01895375,2026-09-03,79.00
PY-01895376,2026-09-03,99.00
PY-01895377,2026-09-03,99.00
PY-01895378,2026-09-03,99.00
PY-01895379,2026-09-03,99.00
PY-01895380,2026-09-03,99.00
PY-01895381,2026-09-03,99.00
PY-01895382,2026-09-03,75.00
PY-01895383,2026-09-03,75.00
PY-01895384,2026-09-03,139.00
PY-01895385,2026-09-03,89.00
PY-01895386,2026-09-03,75.00
PY-01895387,2026-09-03,104.00
PY-01895388,2026-09-03,99.00
PY-01895389,2026-09-03,139.00
PY-01895390,2026-09-03,99.00
PY-01895391,2026-09-03,139.00
PY-01895392,2026-09-03,139.00
PY-01895393,2026-09-03,99.00
PY-01895394,2026-09-03,139.00
PY-01895395,2026-09-03,44.03
PY-01895396,2026-09-03,104.00
PY-01895397,2026-09-03,104.00
PY-01895398,2026-09-03,99.00
PY-01895399,2026-09-03,99.00
PY-01895400,2026-09-03,75.00
PY-01895401,2026-09-03,79.00
PY-01895402,2026-09-03,79.00
PY-01895403,2026-09-03,75.00
PY-01895404,2026-09-03,75.00
PY-01895405,2026-09-03,139.00
PY-01895406,2026-09-03,99.00
PY-01895407,2026-09-03,139.00
PY-01895408,2026-09-03,139.00
PY-01895409,2026-09-03,99.00
PY-01895410,2026-09-03,99.00
PY-01895411,2026-09-03,99.00
PY-01895412,2026-09-03,99.00
PY-01895413,2026-09-03,99.00
PY-01895414,2026-09-03,139.00
PY-01895415,2026-09-03,139.00
PY-01895416,2026-09-03,139.00
PY-01895417,2026-09-03,99.00
PY-01895418,2026-09-03,139.00
PY-01895419,2026-09-03,99.00
PY-01895420,2026-09-03,75.00
PY-01895421,2026-09-03,49.00
PY-01895422,2026-09-03,79.00
PY-01895423,2026-09-03,69.00
PY-01895424,2026-09-03,79.00
PY-01895425,2026-09-03,79.00
PY-01895426,2026-09-03,69.00
PY-01895427,2026-09-03,69.00
PY-01895428,2026-09-03,99.00
PY-01895429,2026-09-03,99.00
PY-01895430,2026-09-03,99.00
PY-01895431,2026-09-03,99.00
PY-01895432,2026-09-03,139.00
PY-01895433,2026-09-03,139.00
PY-01895434,2026-09-03,99.00
PY-01895435,2026-09-03,75.00
PY-01895436,2026-09-03,139.00
PY-01895437,2026-09-03,99.00
PY-01895438,2026-09-03,99.00
PY-01895439,2026-09-03,99.00
PY-01895440,2026-09-03,99.00
PY-01895441,2026-09-03,99.00
PY-01895442,2026-09-03,79.00
PY-01895443,2026-09-03,79.00
PY-01895444,2026-09-03,99.00
PY-01895445,2026-09-03,99.00
PY-01895446,2026-09-03,139.00
PY-01895447,2026-09-03,139.00
PY-01895448,2026-09-03,99.00
PY-01895449,2026-09-03,79.00
PY-01895450,2026-09-03,139.00
PY-01895451,2026-09-03,99.00
PY-01895452,2026-09-03,99.00
PY-01895453,2026-09-03,139.00
PY-01895454,2026-09-03,99.00
PY-01895455,2026-09-03,99.00
PY-01895456,2026-09-03,99.00
PY-01895457,2026-09-03,99.00
PY-01895458,2026-09-03,99.00
PY-01895459,2026-09-03,99.00
PY-01895460,2026-09-03,99.00
PY-01895461,2026-09-03,139.00
PY-01895462,2026-09-03,99.00
PY-01895463,2026-09-03,139.00
PY-01895464,2026-09-03,79.00
PY-01895465,2026-09-03,99.00
PY-01895466,2026-09-03,139.00
PY-01895467,2026-09-03,99.00
PY-01895468,2026-09-03,79.00
PY-01895469,2026-09-03,139.00
PY-01895470,2026-09-03,99.00
PY-01895471,2026-09-03,79.00
PY-01895472,2026-09-03,79.00
PY-01895473,2026-09-03,79.00
PY-01895474,2026-09-03,79.00
PY-01895475,2026-09-03,79.00
PY-01895476,2026-09-03,79.00
PY-01895477,2026-09-03,75.00
PY-01895478,2026-09-03,79.00
PY-01895479,2026-09-03,75.00
PY-01895480,2026-09-03,75.00
PY-01895481,2026-09-03,89.00
PY-01895482,2026-09-03,99.00
PY-01895483,2026-09-03,139.00
PY-01895484,2026-09-03,99.00
PY-01895485,2026-09-03,139.00
PY-01895486,2026-09-03,139.00
PY-01895487,2026-09-03,99.00
PY-01895488,2026-09-03,99.00
PY-01896061,2026-09-04,99.00
PY-01896062,2026-09-04,99.00
PY-01896063,2026-09-04,99.00
PY-01896064,2026-09-04,139.00
PY-01896065,2026-09-04,99.00
PY-01896066,2026-09-04,99.00
PY-01896067,2026-09-04,99.00
PY-01896068,2026-09-04,99.00
PY-01896069,2026-09-04,99.00
PY-01896070,2026-09-04,99.00
PY-01896071,2026-09-04,99.00
PY-01896072,2026-09-04,139.00
PY-01896073,2026-09-04,99.00
PY-01896074,2026-09-04,99.00
PY-01896075,2026-09-04,139.00
